,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.2899521416664115
1,65.0,0.0,0.0,0.0,1.0,3.74898162948523
2,129.0,0.0,0.0,0.0,2.0,3.2795728816938228
3,193.0,0.0,0.0,0.0,3.0,3.187384195404935
4,9.0,0.0,0.0,1.0,0.0,8.982172124137202
5,73.0,0.0,0.0,1.0,1.0,7.9203271853871104
6,137.0,0.0,0.0,1.0,2.0,7.002231828053766
7,201.0,0.0,0.0,1.0,3.0,6.997626167312593
8,17.0,0.0,0.0,2.0,0.0,13.874930923411327
9,81.0,0.0,0.0,2.0,1.0,12.326800270806586
10,145.0,0.0,0.0,2.0,2.0,10.946581577784272
11,209.0,0.0,0.0,2.0,3.0,11.289008554177604
12,25.0,0.0,0.0,3.0,0.0,18.607072968338294
13,89.0,0.0,0.0,3.0,1.0,16.49666208126711
14,153.0,0.0,0.0,3.0,2.0,14.814896471389979
15,217.0,0.0,0.0,3.0,3.0,15.270745954747195
16,33.0,0.0,0.0,4.0,0.0,22.861158071164997
17,97.0,0.0,0.0,4.0,1.0,20.320688513411
18,161.0,0.0,0.0,4.0,2.0,18.30319346211759
19,225.0,0.0,0.0,4.0,3.0,19.010578700292523
20,41.0,0.0,0.0,5.0,0.0,26.519880880904523
21,105.0,0.0,0.0,5.0,1.0,23.65579596618297
22,169.0,0.0,0.0,5.0,2.0,21.306067403276337
23,233.0,0.0,0.0,5.0,3.0,22.14538270751312
24,49.0,0.0,0.0,6.0,0.0,29.45584632801462
25,113.0,0.0,0.0,6.0,1.0,26.277984298271104
26,177.0,0.0,0.0,6.0,2.0,23.736470122840643
27,241.0,0.0,0.0,6.0,3.0,24.72333218935606
28,57.0,0.0,0.0,7.0,0.0,31.96515263499673
29,121.0,0.0,0.0,7.0,1.0,28.54588011645009
30,185.0,0.0,0.0,7.0,2.0,25.733121550499103
31,249.0,0.0,0.0,7.0,3.0,26.687611366600805
32,2.0,0.0,1.0,0.0,0.0,32.301808857720985
33,66.0,0.0,1.0,0.0,1.0,31.79542186034963
34,130.0,0.0,1.0,0.0,2.0,31.361648458133992
35,194.0,0.0,1.0,0.0,3.0,31.271453534605964
36,10.0,0.0,1.0,1.0,0.0,36.731049125047676
37,74.0,0.0,1.0,1.0,1.0,35.71682966248155
38,138.0,0.0,1.0,1.0,2.0,34.84410087170423
39,202.0,0.0,1.0,1.0,3.0,34.9291810863413
40,18.0,0.0,1.0,2.0,0.0,41.26498697809449
41,82.0,0.0,1.0,2.0,1.0,39.76493001657215
42,146.0,0.0,1.0,2.0,2.0,38.553636206763585
43,210.0,0.0,1.0,2.0,3.0,38.82750720805204
44,26.0,0.0,1.0,3.0,0.0,45.60648965804995
45,90.0,0.0,1.0,3.0,1.0,43.753261882013696
46,154.0,0.0,1.0,3.0,2.0,42.220243206481676
47,218.0,0.0,1.0,3.0,3.0,42.76173596205746
48,34.0,0.0,1.0,4.0,0.0,49.62144928646506
49,98.0,0.0,1.0,4.0,1.0,47.36150922051358
50,162.0,0.0,1.0,4.0,2.0,45.50011464210839
51,226.0,0.0,1.0,4.0,3.0,46.226058890564616
52,42.0,0.0,1.0,5.0,0.0,53.06273446497805
53,106.0,0.0,1.0,5.0,1.0,50.38713751944375
54,170.0,0.0,1.0,5.0,2.0,48.29503873458312
55,234.0,0.0,1.0,5.0,3.0,49.16996219672318
56,50.0,0.0,1.0,6.0,0.0,55.85659932949011
57,114.0,0.0,1.0,6.0,1.0,52.86746014457516
58,178.0,0.0,1.0,6.0,2.0,50.59535414636182
59,242.0,0.0,1.0,6.0,3.0,51.60992505925951
60,58.0,0.0,1.0,7.0,0.0,58.17142042306613
61,122.0,0.0,1.0,7.0,1.0,54.93835529736291
62,186.0,0.0,1.0,7.0,2.0,52.39695410619892
63,250.0,0.0,1.0,7.0,3.0,53.32542014880027
64,3.0,0.0,2.0,0.0,0.0,58.541337207824554
65,67.0,0.0,2.0,0.0,1.0,58.04925832068676
66,131.0,0.0,2.0,0.0,2.0,57.546892359203774
67,195.0,0.0,2.0,0.0,3.0,57.56531166192899
68,11.0,0.0,2.0,1.0,0.0,62.593671548069
69,75.0,0.0,2.0,1.0,1.0,61.69245659954596
70,139.0,0.0,2.0,1.0,2.0,60.72287006093113
71,203.0,0.0,2.0,1.0,3.0,60.91026651890046
72,19.0,0.0,2.0,2.0,0.0,66.73629203556064
73,83.0,0.0,2.0,2.0,1.0,65.46558731257272
74,147.0,0.0,2.0,2.0,2.0,64.09898349355717
75,211.0,0.0,2.0,2.0,3.0,64.60105700102096
76,27.0,0.0,2.0,3.0,0.0,70.82166974115707
77,91.0,0.0,2.0,3.0,1.0,69.18751705795395
78,155.0,0.0,2.0,3.0,2.0,67.46906300352431
79,219.0,0.0,2.0,3.0,3.0,68.06112563756754
80,35.0,0.0,2.0,4.0,0.0,74.46464642784916
81,99.0,0.0,2.0,4.0,1.0,72.48864577259172
82,163.0,0.0,2.0,4.0,2.0,70.55390216260713
83,227.0,0.0,2.0,4.0,3.0,71.17185929264203
84,43.0,0.0,2.0,5.0,0.0,77.62594781836609
85,107.0,0.0,2.0,5.0,1.0,75.27379266146919
86,171.0,0.0,2.0,5.0,2.0,73.16790258489043
87,235.0,0.0,2.0,5.0,3.0,73.88969724868396
88,51.0,0.0,2.0,6.0,0.0,80.23236482108909
89,115.0,0.0,2.0,6.0,1.0,77.58984683593295
90,179.0,0.0,2.0,6.0,2.0,75.27232667684173
91,243.0,0.0,2.0,6.0,3.0,76.06417596133087
92,59.0,0.0,2.0,7.0,0.0,82.35705818478732
93,123.0,0.0,2.0,7.0,1.0,79.46298941596093
94,187.0,0.0,2.0,7.0,2.0,76.95195871118709
95,251.0,0.0,2.0,7.0,3.0,77.62739743122404
96,4.0,0.0,3.0,0.0,0.0,82.58937862281344
97,68.0,0.0,3.0,0.0,1.0,82.20474669614039
98,132.0,0.0,3.0,0.0,2.0,81.74988543998683
99,196.0,0.0,3.0,0.0,3.0,81.72401831329306
100,12.0,0.0,3.0,1.0,0.0,86.29830777495688
101,76.0,0.0,3.0,1.0,1.0,85.4663053166027
102,140.0,0.0,3.0,1.0,2.0,84.65533239309227
103,204.0,0.0,3.0,1.0,3.0,84.79809664806672
104,20.0,0.0,3.0,2.0,0.0,90.14161085928224
105,84.0,0.0,3.0,2.0,1.0,88.95940820348326
106,148.0,0.0,3.0,2.0,2.0,87.799502622259
107,212.0,0.0,3.0,2.0,3.0,88.15076192163201
108,28.0,0.0,3.0,3.0,0.0,93.82842974389412
109,92.0,0.0,3.0,3.0,1.0,92.244857358932
110,156.0,0.0,3.0,3.0,2.0,90.84087395779544
111,220.0,0.0,3.0,3.0,3.0,91.27283900622704
112,36.0,0.0,3.0,4.0,0.0,97.13145081673365
113,100.0,0.0,3.0,4.0,1.0,95.24672172289672
114,164.0,0.0,3.0,4.0,2.0,93.53334360927332
115,228.0,0.0,3.0,4.0,3.0,94.17601116597922
116,44.0,0.0,3.0,5.0,0.0,100.03717211025906
117,108.0,0.0,3.0,5.0,1.0,97.87129120585399
118,172.0,0.0,3.0,5.0,2.0,95.90126912090895
119,236.0,0.0,3.0,5.0,3.0,96.6084185070525
120,52.0,0.0,3.0,6.0,0.0,102.36946199443307
121,116.0,0.0,3.0,6.0,1.0,99.95854140721943
122,180.0,0.0,3.0,6.0,2.0,97.78944098140197
123,244.0,0.0,3.0,6.0,3.0,98.50885676043973
124,60.0,0.0,3.0,7.0,0.0,104.34411247758807
125,124.0,0.0,3.0,7.0,1.0,101.70569017279945
126,188.0,0.0,3.0,7.0,2.0,99.33212160276565
127,252.0,0.0,3.0,7.0,3.0,99.9836129053652
128,5.0,0.0,4.0,0.0,0.0,104.5249781746394
129,69.0,0.0,4.0,0.0,1.0,104.13049219951509
130,133.0,0.0,4.0,0.0,2.0,103.70489643684837
131,197.0,0.0,4.0,0.0,3.0,103.70807009717093
132,13.0,0.0,4.0,1.0,0.0,107.93725561039139
133,77.0,0.0,4.0,1.0,1.0,107.15237662220468
134,141.0,0.0,4.0,1.0,2.0,106.43119867192097
135,205.0,0.0,4.0,1.0,3.0,106.56354529885093
136,21.0,0.0,4.0,2.0,0.0,111.51161518285697
137,85.0,0.0,4.0,2.0,1.0,110.3609168303001
138,149.0,0.0,4.0,2.0,2.0,109.32129334367102
139,213.0,0.0,4.0,2.0,3.0,109.57068129490877
140,29.0,0.0,4.0,3.0,0.0,114.86695461277091
141,93.0,0.0,4.0,3.0,1.0,113.38982997661408
142,157.0,0.0,4.0,3.0,2.0,112.08713504545159
143,221.0,0.0,4.0,3.0,3.0,112.44660996170559
144,37.0,0.0,4.0,4.0,0.0,117.95963077685268
145,101.0,0.0,4.0,4.0,1.0,116.19041759967887
146,165.0,0.0,4.0,4.0,2.0,114.625324591575
147,229.0,0.0,4.0,4.0,3.0,115.0697725731253
148,45.0,0.0,4.0,5.0,0.0,120.55252930097294
149,109.0,0.0,4.0,5.0,1.0,118.56374813727336
150,173.0,0.0,4.0,5.0,2.0,116.77171365560736
