,Axial,Radial,Value,Relative Uncertainty
0,0,0,7584932.422361726,0.005281930328562032
1,0,1,7645230.139465047,0.005129327184473346
2,0,2,8538174.654568018,0.006261267404130331
3,0,3,9742532.655456,0.007081768617193592
4,1,0,8793008.346037515,0.004868193069340622
5,1,1,8305252.360103204,0.005005465935809851
6,1,2,9002833.672940817,0.004993328177726324
7,1,3,10163035.162914375,0.006359707114976079
8,2,0,9544152.851183133,0.0045706478626011925
9,2,1,8855631.154260067,0.004271490098143899
10,2,2,9490180.477867024,0.0051381499787359515
11,2,3,10495225.322134025,0.005288966213536651
12,3,0,9153179.79162258,0.004736661034513217
13,3,1,8670977.236635715,0.00466143943500203
14,3,2,9202302.556671549,0.004249155500285832
15,3,3,10169978.29051913,0.004215549119928806
16,4,0,8323201.12246455,0.004573333013883779
17,4,1,7837382.9913118305,0.004578792427700437
18,4,2,8308319.206222335,0.0045903512067591605
19,4,3,9214487.025905255,0.004567022854849816
20,5,0,7057400.528188463,0.0058573521242257405
21,5,1,6742750.318919029,0.006261335962333762
22,5,2,7139597.003355738,0.005321136279877923
23,5,3,7939412.820425228,0.0058932110163514686
24,6,0,5707219.115267541,0.0068981305801671874
25,6,1,5484274.598887848,0.006638390941999227
26,6,2,5797111.25094822,0.006799527677012416
27,6,3,6474308.697048542,0.006445740522375153
28,7,0,4298925.85785108,0.009512501996709123
29,7,1,4532404.468262572,0.008525932065773366
30,7,2,5030000.989870184,0.008511806598347639
31,7,3,5595287.266940471,0.008391021092818411
