,Axial,Radial,Value,Relative Uncertainty
0,0,0,4969685.632663887,0.01997029282523824
1,0,1,4975324.687479788,0.019187046202089674
2,0,2,5769522.535455108,0.01705577167633109
3,0,3,6816753.274493142,0.016360553175106516
4,1,0,6310280.637282313,0.016009230357351537
5,1,1,5904847.817686855,0.014845781797379594
6,1,2,6961690.098405047,0.015517837291060885
7,1,3,7901389.31547935,0.014837992394170475
8,2,0,7735244.869661438,0.015488871133145862
9,2,1,7534942.263186593,0.01582686599405645
10,2,2,8277437.652967486,0.013941157911319241
11,2,3,9779820.768397568,0.01478206022792622
12,3,0,8619917.390211374,0.015586571253433499
13,3,1,8197085.355949827,0.015812947149273053
14,3,2,9090912.118671224,0.012297851203395192
15,3,3,10671243.347723035,0.013507868389048942
16,4,0,8729768.08586567,0.014360760922319226
17,4,1,8360661.772106874,0.014703185619046785
18,4,2,9208440.05852417,0.014678130838380238
19,4,3,10548375.788384968,0.014010997550340135
20,5,0,8269350.755186519,0.017018954514819086
21,5,1,7687156.780726992,0.013399973681541704
22,5,2,8487218.649772242,0.014473342167094016
23,5,3,9846225.144255085,0.015372386837486866
24,6,0,7120010.3068193905,0.015373096645106
25,6,1,6566856.005910196,0.01568001769281858
26,6,2,7547671.580134947,0.015017617054865156
27,6,3,8844159.520603446,0.014857937776768344
28,7,0,5515399.808023285,0.017630879840292494
29,7,1,5712982.643481699,0.018689904222058615
30,7,2,6526339.911167891,0.0168061211101798
31,7,3,7621956.002055995,0.015761035503368402
