,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.2387590264354775e+19,0.009742110240426483
1,0,1,5.891437886088777e+19,0.010538285618779593
2,0,2,6.878316866992649e+19,0.009150306562341589
3,0,3,7.819982671200682e+19,0.010091836311442988
4,1,0,7.173667643896013e+19,0.008931022878399737
5,1,1,6.5034382660666876e+19,0.009483355009431808
6,1,2,7.283941919592776e+19,0.009663690512560334
7,1,3,8.324977574967951e+19,0.010467082577655473
8,2,0,7.833088993283835e+19,0.007466343957475259
9,2,1,6.948528596146402e+19,0.006710190517700378
10,2,2,7.748780165638144e+19,0.007845152706969592
11,2,3,8.755165511423241e+19,0.009254427635477888
12,3,0,7.725888515236104e+19,0.007634927535023099
13,3,1,6.859234486707256e+19,0.007140347936168763
14,3,2,7.542466956781856e+19,0.007229094206654823
15,3,3,8.48499470710944e+19,0.007835985368617598
16,4,0,7.064037065516222e+19,0.007182072527913281
17,4,1,6.192643566861476e+19,0.007863268713004619
18,4,2,6.815833749967161e+19,0.007472810393334531
19,4,3,7.51732896019254e+19,0.008276550785860516
20,5,0,6.171976380784326e+19,0.009333716963601373
21,5,1,5.329564033148578e+19,0.009733012105937572
22,5,2,5.737112724044475e+19,0.009044089911408851
23,5,3,6.300414692959247e+19,0.009141901889357859
24,6,0,4.930687741426315e+19,0.013243024430163397
25,6,1,4.2737869712354206e+19,0.012501930832465567
26,6,2,4.6721959031676805e+19,0.014156778330593542
27,6,3,5.260201555475945e+19,0.014590142556635754
28,7,0,3.915333013627032e+19,0.015597671804938353
29,7,1,3.651130790825592e+19,0.015369684955594069
30,7,2,4.1210137814126445e+19,0.015773376562285987
31,7,3,4.588006856577099e+19,0.019983819300614096
