,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.186077418101242e+19,0.011451528615711791
1,0,1,5.8375135627599675e+19,0.011682407434102232
2,0,2,6.674676370205666e+19,0.01291101506876333
3,0,3,7.497594104302476e+19,0.01221968987529719
4,1,0,7.042707286448829e+19,0.010725328859932942
5,1,1,6.371710786809007e+19,0.010373277942560162
6,1,2,7.139818997117528e+19,0.009879633338331785
7,1,3,8.001970202444625e+19,0.01096094670695508
8,2,0,7.644879234416112e+19,0.009077872348606002
9,2,1,6.779099568190833e+19,0.009646299424234502
10,2,2,7.557897572154027e+19,0.008930160643244919
11,2,3,8.37971969902732e+19,0.011314512223629072
12,3,0,7.466871047915065e+19,0.008906902194922904
13,3,1,6.546657275540963e+19,0.009173513411451667
14,3,2,7.216718940846114e+19,0.007995212460130009
15,3,3,8.106155926873455e+19,0.010066968838882043
16,4,0,6.976718178032737e+19,0.008572340396556294
17,4,1,6.1594474101523505e+19,0.009142314939449272
18,4,2,6.767486179654871e+19,0.00881655125718688
19,4,3,7.474554387276125e+19,0.009003099819353854
20,5,0,6.2865542801279975e+19,0.011562302442298422
21,5,1,5.4258314217272254e+19,0.01167434600205651
22,5,2,6.009046206134402e+19,0.01011695891290203
23,5,3,6.565347693815297e+19,0.009902671974891225
24,6,0,4.993599593305947e+19,0.011977215991865532
25,6,1,4.440373194200498e+19,0.011507299998187755
26,6,2,4.915237325555683e+19,0.010750837712957447
27,6,3,5.572252156328999e+19,0.011278072775171578
28,7,0,3.944107765515991e+19,0.013260912506117198
29,7,1,3.733175252610533e+19,0.01496754337836802
30,7,2,4.223075327141237e+19,0.016379526395305335
31,7,3,4.756847349410288e+19,0.0170103615266238
