,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.195278264127383e+19,0.005784807922309566
1,0,1,5.9147202757213766e+19,0.005406127300189523
2,0,2,6.822779885356e+19,0.0055976016752806385
3,0,3,7.816177488809553e+19,0.006541316390956773
4,1,0,7.149033782003195e+19,0.0046309581047109544
5,1,1,6.4740704675078504e+19,0.004823481650931074
6,1,2,7.282036352276012e+19,0.004973543187200224
7,1,3,8.238824505401678e+19,0.00588730867035658
8,2,0,7.834574079090287e+19,0.003866601101300914
9,2,1,6.9455425924643004e+19,0.004067460287853233
10,2,2,7.70266505180279e+19,0.004049951703918807
11,2,3,8.656514678316794e+19,0.003531825646280499
12,3,0,7.740696544397276e+19,0.00409057817875702
13,3,1,6.861719361479463e+19,0.0033896123976057194
14,3,2,7.596343091979836e+19,0.0033111556549099727
15,3,3,8.4368149718003e+19,0.0036205210727032833
16,4,0,7.14877109537332e+19,0.003727909392544373
17,4,1,6.231741350240131e+19,0.003870306670245931
18,4,2,6.934999595704349e+19,0.003863153107155786
19,4,3,7.756616599900317e+19,0.004344053743920448
20,5,0,6.200830535191866e+19,0.004473398486854324
21,5,1,5.439549063277495e+19,0.004738781369849589
22,5,2,6.045219567062772e+19,0.004779084147881369
23,5,3,6.770673093647209e+19,0.005126335068424477
24,6,0,5.0402082563924615e+19,0.006111106830684657
25,6,1,4.445424497294851e+19,0.005831583512470222
26,6,2,4.951769597493227e+19,0.005959792380689269
27,6,3,5.5280063059863765e+19,0.006795464786752328
28,7,0,3.963882768681461e+19,0.007401574825006217
29,7,1,3.695309284188472e+19,0.006916135789210597
30,7,2,4.169241435154214e+19,0.007886465184533353
31,7,3,4.695052613281118e+19,0.008140306310914563
