,Axial,Radial,Value,Relative Uncertainty
0,0,0,7315575.298618631,0.01261765964921612
1,0,1,7318528.0898127295,0.014882895883164502
2,0,2,8151733.937276854,0.013840709719208852
3,0,3,9454535.884023355,0.013086794463302484
4,1,0,8881179.037621023,0.012007995139543336
5,1,1,8146674.611545347,0.012916407625258806
6,1,2,8817230.519154448,0.011633956632248997
7,1,3,9935754.22108082,0.012653592930941225
8,2,0,9368710.654387364,0.011535352363384453
9,2,1,8873397.74124139,0.010856969764673574
10,2,2,9640739.054952882,0.011284389521286806
11,2,3,10943887.581046984,0.012200098048487883
12,3,0,9591949.397115434,0.011082287127488134
13,3,1,8943274.598932894,0.01267120958054557
14,3,2,9419982.832754036,0.01255815548082098
15,3,3,10638465.02116363,0.012511034341885241
16,4,0,8509694.428557076,0.011751839796793237
17,4,1,8007212.366379567,0.013433556638466466
18,4,2,8645285.68931685,0.011858605533271557
19,4,3,9422726.614318859,0.011394391104328685
20,5,0,7291990.715634241,0.012144626450070459
21,5,1,6939729.721418159,0.014861977405820457
22,5,2,7289031.0532237,0.012277076804905451
23,5,3,7843518.423204648,0.013197318092722394
24,6,0,5967874.044613583,0.01738903421138778
25,6,1,5405619.55433366,0.0173850273471201
26,6,2,5763922.72529874,0.01619988245485109
27,6,3,6032681.4130166415,0.01577053441584797
28,7,0,4226115.366494005,0.01891934816493997
29,7,1,4362412.240154755,0.017493614900437847
30,7,2,4536749.435410806,0.01783225466965308
31,7,3,4911167.176779069,0.017990857543509896
