,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,0.39152180351434845
1,65.0,0.0,0.0,0.0,1.0,0.3413827068705708
2,129.0,0.0,0.0,0.0,2.0,0.2862607895311424
3,193.0,0.0,0.0,0.0,3.0,0.2754327787267629
4,9.0,0.0,0.0,1.0,0.0,4.339832801711918
5,73.0,0.0,0.0,1.0,1.0,3.7974305112347433
6,137.0,0.0,0.0,1.0,2.0,3.211194272076198
7,201.0,0.0,0.0,1.0,3.0,3.1128662175555704
8,17.0,0.0,0.0,2.0,0.0,8.634534656016273
9,81.0,0.0,0.0,2.0,1.0,7.694130824217508
10,145.0,0.0,0.0,2.0,2.0,6.716658191279073
11,209.0,0.0,0.0,2.0,3.0,6.729901896030475
12,25.0,0.0,0.0,3.0,0.0,13.368843027716654
13,89.0,0.0,0.0,3.0,1.0,12.100315704184005
14,153.0,0.0,0.0,3.0,2.0,10.406758159088746
15,217.0,0.0,0.0,3.0,3.0,10.622031732500238
16,33.0,0.0,0.0,4.0,0.0,18.064488852673318
17,97.0,0.0,0.0,4.0,1.0,16.139878996888612
18,161.0,0.0,0.0,4.0,2.0,14.127698319645683
19,225.0,0.0,0.0,4.0,3.0,14.406894481716094
20,41.0,0.0,0.0,5.0,0.0,22.13783347842613
21,105.0,0.0,0.0,5.0,1.0,19.781841119007872
22,169.0,0.0,0.0,5.0,2.0,17.401618750155965
23,233.0,0.0,0.0,5.0,3.0,17.96159087008831
24,49.0,0.0,0.0,6.0,0.0,25.567507222684654
25,113.0,0.0,0.0,6.0,1.0,22.850753968092505
26,177.0,0.0,0.0,6.0,2.0,20.117595956516656
27,241.0,0.0,0.0,6.0,3.0,20.935292790100608
28,57.0,0.0,0.0,7.0,0.0,28.185239095322302
29,121.0,0.0,0.0,7.0,1.0,25.185870901582064
30,185.0,0.0,0.0,7.0,2.0,22.41364980873715
31,249.0,0.0,0.0,7.0,3.0,23.178348232052183
32,2.0,0.0,1.0,0.0,0.0,26.83689318468015
33,66.0,0.0,1.0,0.0,1.0,26.807235679369445
34,130.0,0.0,1.0,0.0,2.0,26.762638041146545
35,194.0,0.0,1.0,0.0,3.0,26.74720230131111
36,10.0,0.0,1.0,1.0,0.0,30.597259437316925
37,74.0,0.0,1.0,1.0,1.0,30.263537337249485
38,138.0,0.0,1.0,1.0,2.0,29.780230513989473
39,202.0,0.0,1.0,1.0,3.0,29.65022599102275
40,18.0,0.0,1.0,2.0,0.0,34.723226785792185
41,82.0,0.0,1.0,2.0,1.0,34.008656135623724
42,146.0,0.0,1.0,2.0,2.0,33.14553669609976
43,210.0,0.0,1.0,2.0,3.0,33.222956853495866
44,26.0,0.0,1.0,3.0,0.0,39.16830663968423
45,90.0,0.0,1.0,3.0,1.0,37.98788297791215
46,154.0,0.0,1.0,3.0,2.0,36.70528080569336
47,218.0,0.0,1.0,3.0,3.0,36.69938963178785
48,34.0,0.0,1.0,4.0,0.0,43.466580072910425
49,98.0,0.0,1.0,4.0,1.0,41.83935744749068
50,162.0,0.0,1.0,4.0,2.0,40.282435600846256
51,226.0,0.0,1.0,4.0,3.0,40.5180174743329
52,42.0,0.0,1.0,5.0,0.0,47.293879992266326
53,106.0,0.0,1.0,5.0,1.0,45.41985425994867
54,170.0,0.0,1.0,5.0,2.0,43.40290824005367
55,234.0,0.0,1.0,5.0,3.0,43.97967138916877
56,50.0,0.0,1.0,6.0,0.0,50.596094516611174
57,114.0,0.0,1.0,6.0,1.0,48.32752366580591
58,178.0,0.0,1.0,6.0,2.0,46.1796199747087
59,242.0,0.0,1.0,6.0,3.0,46.65959422950607
60,58.0,0.0,1.0,7.0,0.0,53.0784078553958
61,122.0,0.0,1.0,7.0,1.0,50.717108975184104
62,186.0,0.0,1.0,7.0,2.0,48.254681799977575
63,250.0,0.0,1.0,7.0,3.0,48.96519546724994
64,3.0,0.0,2.0,0.0,0.0,52.20598483145294
65,67.0,0.0,2.0,0.0,1.0,52.14911612075847
66,131.0,0.0,2.0,0.0,2.0,52.093818005464385
67,195.0,0.0,2.0,0.0,3.0,52.115011841037294
68,11.0,0.0,2.0,1.0,0.0,55.915027801051295
69,75.0,0.0,2.0,1.0,1.0,55.29640042524685
70,139.0,0.0,2.0,1.0,2.0,54.71383327397793
71,203.0,0.0,2.0,1.0,3.0,54.943737883772386
72,19.0,0.0,2.0,2.0,0.0,59.78382111641941
73,83.0,0.0,2.0,2.0,1.0,58.65407452093348
74,147.0,0.0,2.0,2.0,2.0,57.75597590614977
75,211.0,0.0,2.0,2.0,3.0,58.170773737825655
76,27.0,0.0,2.0,3.0,0.0,64.09162485079523
77,91.0,0.0,2.0,3.0,1.0,62.35770712312951
78,155.0,0.0,2.0,3.0,2.0,60.995442673372104
79,219.0,0.0,2.0,3.0,3.0,61.607843719345354
80,35.0,0.0,2.0,4.0,0.0,68.11762143421367
81,99.0,0.0,2.0,4.0,1.0,65.90913874200008
82,163.0,0.0,2.0,4.0,2.0,64.33268322754041
83,227.0,0.0,2.0,4.0,3.0,64.8117106339136
84,43.0,0.0,2.0,5.0,0.0,71.67534415988226
85,107.0,0.0,2.0,5.0,1.0,69.17005630266263
86,171.0,0.0,2.0,5.0,2.0,67.32172761029283
87,235.0,0.0,2.0,5.0,3.0,67.5202289077192
88,51.0,0.0,2.0,6.0,0.0,74.57844012245702
