,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.323821326759635e+19,0.004883178702330104
1,0,1,6.018270567532207e+19,0.004828545825389074
2,0,2,6.9412244536434835e+19,0.00463907689879765
3,0,3,7.917661586073702e+19,0.005232327849220313
4,1,0,7.2996216301230105e+19,0.004281885700835377
5,1,1,6.496406666295596e+19,0.004032961952088883
6,1,2,7.270353924935495e+19,0.0037950549880849515
7,1,3,8.174836341485016e+19,0.005283148157485943
8,2,0,7.839913097349759e+19,0.0038768351321365087
9,2,1,6.959001810470689e+19,0.003682612460757994
10,2,2,7.710829820420725e+19,0.003430276984091612
11,2,3,8.561934972916482e+19,0.004101113999930716
12,3,0,7.73079975110237e+19,0.0038080400750953743
13,3,1,6.796215152941833e+19,0.0032748581662133693
14,3,2,7.52484183283857e+19,0.003783302097117693
15,3,3,8.330475856996e+19,0.003980689558749494
16,4,0,7.148375326460942e+19,0.004364062427082919
17,4,1,6.243534797926059e+19,0.004047329513202592
18,4,2,6.885318541987758e+19,0.004076766081717912
19,4,3,7.619295660346822e+19,0.004198163424517935
20,5,0,6.206189822508851e+19,0.004481407640292723
21,5,1,5.444719042454393e+19,0.004262018468254884
22,5,2,5.988239289220697e+19,0.004532778328087418
23,5,3,6.673957219968596e+19,0.005183932598411218
24,6,0,5.063497613894914e+19,0.006447620372471034
25,6,1,4.423846709978847e+19,0.006391408281460396
26,6,2,4.915896424085431e+19,0.006179279725411226
27,6,3,5.49333601791608e+19,0.006492939885165048
28,7,0,4.022109706437605e+19,0.007834597438038125
29,7,1,3.718274985554334e+19,0.007929687625959872
30,7,2,4.1757883278794375e+19,0.007352257103951643
31,7,3,4.780091894634079e+19,0.007655606442518573
