,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.222660085487583
1,65.0,0.0,0.0,0.0,1.0,3.6398914988680406
2,129.0,0.0,0.0,0.0,2.0,3.236703885889564
3,193.0,0.0,0.0,0.0,3.0,3.1506036221131204
4,9.0,0.0,0.0,1.0,0.0,8.818602280314037
5,73.0,0.0,0.0,1.0,1.0,7.744411012603441
6,137.0,0.0,0.0,1.0,2.0,6.898767206280454
7,201.0,0.0,0.0,1.0,3.0,7.050382474592624
8,17.0,0.0,0.0,2.0,0.0,13.780184069788977
9,81.0,0.0,0.0,2.0,1.0,12.118904378821938
10,145.0,0.0,0.0,2.0,2.0,10.903209336113683
11,209.0,0.0,0.0,2.0,3.0,11.312738128391327
12,25.0,0.0,0.0,3.0,0.0,18.492168156164
13,89.0,0.0,0.0,3.0,1.0,16.29425506662569
14,153.0,0.0,0.0,3.0,2.0,14.647699296601656
15,217.0,0.0,0.0,3.0,3.0,15.318625215441394
16,33.0,0.0,0.0,4.0,0.0,22.858623019356106
17,97.0,0.0,0.0,4.0,1.0,20.169834011783323
18,161.0,0.0,0.0,4.0,2.0,18.241397944311505
19,225.0,0.0,0.0,4.0,3.0,18.99159955893429
20,41.0,0.0,0.0,5.0,0.0,26.525856294456595
21,105.0,0.0,0.0,5.0,1.0,23.55224262113431
22,169.0,0.0,0.0,5.0,2.0,21.308252241965267
23,233.0,0.0,0.0,5.0,3.0,22.08092370574464
24,49.0,0.0,0.0,6.0,0.0,29.644441224991393
25,113.0,0.0,0.0,6.0,1.0,26.312251325862828
26,177.0,0.0,0.0,6.0,2.0,23.758095977655028
27,241.0,0.0,0.0,6.0,3.0,24.62879544932124
28,57.0,0.0,0.0,7.0,0.0,32.255695656522214
29,121.0,0.0,0.0,7.0,1.0,28.65647332753791
30,185.0,0.0,0.0,7.0,2.0,25.729698035892945
31,249.0,0.0,0.0,7.0,3.0,26.636106427170027
32,2.0,0.0,1.0,0.0,0.0,32.374013450743504
33,66.0,0.0,1.0,0.0,1.0,31.807169292396665
34,130.0,0.0,1.0,0.0,2.0,31.37765482832239
35,194.0,0.0,1.0,0.0,3.0,31.338067045607403
36,10.0,0.0,1.0,1.0,0.0,36.73830291368086
37,74.0,0.0,1.0,1.0,1.0,35.67282961135474
38,138.0,0.0,1.0,1.0,2.0,34.938219859016705
39,202.0,0.0,1.0,1.0,3.0,35.0461686898319
40,18.0,0.0,1.0,2.0,0.0,41.182112768314695
41,82.0,0.0,1.0,2.0,1.0,39.74627641124399
42,146.0,0.0,1.0,2.0,2.0,38.56955130441278
43,210.0,0.0,1.0,2.0,3.0,38.921756387920965
44,26.0,0.0,1.0,3.0,0.0,45.62235232468886
45,90.0,0.0,1.0,3.0,1.0,43.73741168130145
46,154.0,0.0,1.0,3.0,2.0,42.189920257776485
47,218.0,0.0,1.0,3.0,3.0,42.790901848295945
48,34.0,0.0,1.0,4.0,0.0,49.7039748275203
49,98.0,0.0,1.0,4.0,1.0,47.37130369209924
50,162.0,0.0,1.0,4.0,2.0,45.43349778818101
51,226.0,0.0,1.0,4.0,3.0,46.200250703219034
52,42.0,0.0,1.0,5.0,0.0,53.14786521554779
53,106.0,0.0,1.0,5.0,1.0,50.46118802872475
54,170.0,0.0,1.0,5.0,2.0,48.221957976050916
55,234.0,0.0,1.0,5.0,3.0,49.1551331297071
56,50.0,0.0,1.0,6.0,0.0,56.05494884225149
57,114.0,0.0,1.0,6.0,1.0,53.02383366329583
58,178.0,0.0,1.0,6.0,2.0,50.52618200391706
59,242.0,0.0,1.0,6.0,3.0,51.548364802413445
60,58.0,0.0,1.0,7.0,0.0,58.34414833891815
61,122.0,0.0,1.0,7.0,1.0,55.14040995318385
62,186.0,0.0,1.0,7.0,2.0,52.37380002813261
63,250.0,0.0,1.0,7.0,3.0,53.33664411967327
64,3.0,0.0,2.0,0.0,0.0,58.61711509579888
65,67.0,0.0,2.0,0.0,1.0,58.104940176173486
66,131.0,0.0,2.0,0.0,2.0,57.63159164185962
67,195.0,0.0,2.0,0.0,3.0,57.64843579049168
68,11.0,0.0,2.0,1.0,0.0,62.531651141490734
69,75.0,0.0,2.0,1.0,1.0,61.68889062589229
70,139.0,0.0,2.0,1.0,2.0,60.81947123848356
71,203.0,0.0,2.0,1.0,3.0,60.99117499755421
72,19.0,0.0,2.0,2.0,0.0,66.7059601431875
73,83.0,0.0,2.0,2.0,1.0,65.44742321559531
74,147.0,0.0,2.0,2.0,2.0,64.18194598775968
75,211.0,0.0,2.0,2.0,3.0,64.54941744769471
76,27.0,0.0,2.0,3.0,0.0,70.84435178238334
77,91.0,0.0,2.0,3.0,1.0,69.08357630614613
78,155.0,0.0,2.0,3.0,2.0,67.52316573704633
79,219.0,0.0,2.0,3.0,3.0,68.02087830407936
80,35.0,0.0,2.0,4.0,0.0,74.53069428914979
81,99.0,0.0,2.0,4.0,1.0,72.37790575441376
82,163.0,0.0,2.0,4.0,2.0,70.47682459694435
83,227.0,0.0,2.0,4.0,3.0,71.15986338146026
84,43.0,0.0,2.0,5.0,0.0,77.67261572843547
85,107.0,0.0,2.0,5.0,1.0,75.31309107489987
86,171.0,0.0,2.0,5.0,2.0,73.1167054176351
87,235.0,0.0,2.0,5.0,3.0,73.80176904508536
88,51.0,0.0,2.0,6.0,0.0,80.23438858922086
89,115.0,0.0,2.0,6.0,1.0,77.62681928947116
90,179.0,0.0,2.0,6.0,2.0,75.2335705023314
91,243.0,0.0,2.0,6.0,3.0,76.02923641816805
92,59.0,0.0,2.0,7.0,0.0,82.42171438450639
93,123.0,0.0,2.0,7.0,1.0,79.54174526353773
94,187.0,0.0,2.0,7.0,2.0,76.92044176881468
95,251.0,0.0,2.0,7.0,3.0,77.65218862179105
96,4.0,0.0,3.0,0.0,0.0,82.57836170099772
97,68.0,0.0,3.0,0.0,1.0,82.16934545334057
98,132.0,0.0,3.0,0.0,2.0,81.7923010126241
99,196.0,0.0,3.0,0.0,3.0,81.74831705986402
100,12.0,0.0,3.0,1.0,0.0,86.20498382546995
101,76.0,0.0,3.0,1.0,1.0,85.40268498823548
102,140.0,0.0,3.0,1.0,2.0,84.71362638540941
103,204.0,0.0,3.0,1.0,3.0,84.81803056204528
104,20.0,0.0,3.0,2.0,0.0,90.04142274851517
105,84.0,0.0,3.0,2.0,1.0,88.82745982575318
106,148.0,0.0,3.0,2.0,2.0,87.8443060944592
107,212.0,0.0,3.0,2.0,3.0,88.1287713667856
108,28.0,0.0,3.0,3.0,0.0,93.67849460540828
109,92.0,0.0,3.0,3.0,1.0,92.14740790678982
110,156.0,0.0,3.0,3.0,2.0,90.90831487611898
111,220.0,0.0,3.0,3.0,3.0,91.2870101351018
112,36.0,0.0,3.0,4.0,0.0,97.06570008834844
113,100.0,0.0,3.0,4.0,1.0,95.15031800655653
114,164.0,0.0,3.0,4.0,2.0,93.63569959995391
115,228.0,0.0,3.0,4.0,3.0,94.1424465072927
116,44.0,0.0,3.0,5.0,0.0,100.02574623530249
117,108.0,0.0,3.0,5.0,1.0,97.79354576721931
118,172.0,0.0,3.0,5.0,2.0,96.020327787851
119,236.0,0.0,3.0,5.0,3.0,96.62019454888812
120,52.0,0.0,3.0,6.0,0.0,102.40036576726695
121,116.0,0.0,3.0,6.0,1.0,99.95397022753161
122,180.0,0.0,3.0,6.0,2.0,97.97884080281554
123,244.0,0.0,3.0,6.0,3.0,98.5990822332718
124,60.0,0.0,3.0,7.0,0.0,104.3957554449793
125,124.0,0.0,3.0,7.0,1.0,101.72629750057598
126,188.0,0.0,3.0,7.0,2.0,99.50878743634973
127,252.0,0.0,3.0,7.0,3.0,100.13581009179248
128,5.0,0.0,4.0,0.0,0.0,104.5422769684402
129,69.0,0.0,4.0,0.0,1.0,104.14569219946036
130,133.0,0.0,4.0,0.0,2.0,103.75863517111716
131,197.0,0.0,4.0,0.0,3.0,103.75595123847569
132,13.0,0.0,4.0,1.0,0.0,107.86959085303268
133,77.0,0.0,4.0,1.0,1.0,107.10538218846989
134,141.0,0.0,4.0,1.0,2.0,106.48131772506103
135,205.0,0.0,4.0,1.0,3.0,106.64911435061835
136,21.0,0.0,4.0,2.0,0.0,111.34470269528018
137,85.0,0.0,4.0,2.0,1.0,110.24846141048512
138,149.0,0.0,4.0,2.0,2.0,109.32339392766389
139,213.0,0.0,4.0,2.0,3.0,109.62446714923183
140,29.0,0.0,4.0,3.0,0.0,114.71773967864462
141,93.0,0.0,4.0,3.0,1.0,113.2601610402015
142,157.0,0.0,4.0,3.0,2.0,112.0423447838572
143,221.0,0.0,4.0,3.0,3.0,112.52352481808163
144,37.0,0.0,4.0,4.0,0.0,117.87105629777508
145,101.0,0.0,4.0,4.0,1.0,116.01953281039678
146,165.0,0.0,4.0,4.0,2.0,114.5842273163591
147,229.0,0.0,4.0,4.0,3.0,115.18095638632465
148,45.0,0.0,4.0,5.0,0.0,120.56737196624853
149,109.0,0.0,4.0,5.0,1.0,118.43007637072577
150,173.0,0.0,4.0,5.0,2.0,116.7345716606997
151,237.0,0.0,4.0,5.0,3.0,117.33080244605155
152,53.0,0.0,4.0,6.0,0.0,122.71673452482545
153,117.0,0.0,4.0,6.0,1.0,120.36533893584371
154,181.0,0.0,4.0,6.0,2.0,118.4780680610901
155,245.0,0.0,4.0,6.0,3.0,119.16094644493012
156,61.0,0.0,4.0,7.0,0.0,124.54837347545828
157,125.0,0.0,4.0,7.0,1.0,122.01253716424208
158,189.0,0.0,4.0,7.0,2.0,119.92700010415119
159,253.0,0.0,4.0,7.0,3.0,120.51307676910355
160,6.0,0.0,5.0,0.0,0.0,124.51820857314024
161,70.0,0.0,5.0,0.0,1.0,124.22342606990878
162,134.0,0.0,5.0,0.0,2.0,123.94568382565238
163,198.0,0.0,5.0,0.0,3.0,123.92365120507448
164,14.0,0.0,5.0,1.0,0.0,127.5729853135381
165,78.0,0.0,5.0,1.0,1.0,126.94940808342903
166,142.0,0.0,5.0,1.0,2.0,126.3737260336052
167,206.0,0.0,5.0,1.0,3.0,126.4662202796035
168,22.0,0.0,5.0,2.0,0.0,130.76136456408202
169,86.0,0.0,5.0,2.0,1.0,129.8417062959775
170,150.0,0.0,5.0,2.0,2.0,129.000050710757
171,214.0,0.0,5.0,2.0,3.0,129.19120567714165
172,30.0,0.0,5.0,3.0,0.0,133.84802126609833
173,94.0,0.0,5.0,3.0,1.0,132.6228880371545
174,158.0,0.0,5.0,3.0,2.0,131.54385219531184
175,222.0,0.0,5.0,3.0,3.0,131.81406369464497
176,38.0,0.0,5.0,4.0,0.0,136.7050316870702
177,102.0,0.0,5.0,4.0,1.0,135.17208642198642
178,166.0,0.0,5.0,4.0,2.0,133.82452594263788
179,230.0,0.0,5.0,4.0,3.0,134.2560281014399
180,46.0,0.0,5.0,5.0,0.0,139.15431259046224
181,110.0,0.0,5.0,5.0,1.0,137.3234052575876
182,174.0,0.0,5.0,5.0,2.0,135.83727840477275
183,238.0,0.0,5.0,5.0,3.0,136.26817944173942
184,54.0,0.0,5.0,6.0,0.0,141.1911317307874
185,118.0,0.0,5.0,6.0,1.0,139.15776760729764
186,182.0,0.0,5.0,6.0,2.0,137.42410821433373
187,246.0,0.0,5.0,6.0,3.0,137.91225787979906
188,62.0,0.0,5.0,7.0,0.0,142.88203310296666
189,126.0,0.0,5.0,7.0,1.0,140.66535657287594
190,190.0,0.0,5.0,7.0,2.0,138.71722294337843
191,254.0,0.0,5.0,7.0,3.0,139.14068877292397
192,7.0,0.0,6.0,0.0,0.0,142.97092537097706
193,71.0,0.0,6.0,0.0,1.0,142.67726549599618
194,135.0,0.0,6.0,0.0,2.0,142.36287993437946
195,199.0,0.0,6.0,0.0,3.0,142.36629643470158
196,15.0,0.0,6.0,1.0,0.0,145.72038676903603
197,79.0,0.0,6.0,1.0,1.0,145.17404847785963
198,143.0,0.0,6.0,1.0,2.0,144.628456786096
199,207.0,0.0,6.0,1.0,3.0,144.6974069443156
200,23.0,0.0,6.0,2.0,0.0,148.62194827958547
201,87.0,0.0,6.0,2.0,1.0,147.79654893183658
202,151.0,0.0,6.0,2.0,2.0,146.9976441084915
203,215.0,0.0,6.0,2.0,3.0,147.21862650834495
204,31.0,0.0,6.0,3.0,0.0,151.52008800756673
205,95.0,0.0,6.0,3.0,1.0,150.4313722237472
206,159.0,0.0,6.0,3.0,2.0,149.34209637934478
207,223.0,0.0,6.0,3.0,3.0,149.62239593934095
208,39.0,0.0,6.0,4.0,0.0,154.1385276304847
209,103.0,0.0,6.0,4.0,1.0,152.76924366792042
210,167.0,0.0,6.0,4.0,2.0,151.46721524039808
211,231.0,0.0,6.0,4.0,3.0,151.7471052570118
212,47.0,0.0,6.0,5.0,0.0,156.39813357173185
213,111.0,0.0,6.0,5.0,1.0,154.83013606094605
214,175.0,0.0,6.0,5.0,2.0,153.30580266819555
215,239.0,0.0,6.0,5.0,3.0,153.64711613366768
216,55.0,0.0,6.0,6.0,0.0,158.3018007128907
217,119.0,0.0,6.0,6.0,1.0,156.46162827764616
218,183.0,0.0,6.0,6.0,2.0,154.81017140258425
219,247.0,0.0,6.0,6.0,3.0,155.15668513442586
220,63.0,0.0,6.0,7.0,0.0,159.8495609819687
221,127.0,0.0,6.0,7.0,1.0,157.85164361474096
222,191.0,0.0,6.0,7.0,2.0,156.0212270060836
223,255.0,0.0,6.0,7.0,3.0,156.26819204886232
224,8.0,0.0,7.0,0.0,0.0,159.8881159918361
225,72.0,0.0,7.0,0.0,1.0,159.62030478597768
226,136.0,0.0,7.0,0.0,2.0,159.33884709754463
227,200.0,0.0,7.0,0.0,3.0,159.3145947675601
228,16.0,0.0,7.0,1.0,0.0,162.4685018399623
229,80.0,0.0,7.0,1.0,1.0,161.85310198255638
230,144.0,0.0,7.0,1.0,2.0,161.36388624320418
231,208.0,0.0,7.0,1.0,3.0,161.5048848737062
232,24.0,0.0,7.0,2.0,0.0,165.2210809327402
233,88.0,0.0,7.0,2.0,1.0,164.2667898636112
234,152.0,0.0,7.0,2.0,2.0,163.57875690035866
235,216.0,0.0,7.0,2.0,3.0,163.7919985111198
236,32.0,0.0,7.0,3.0,0.0,167.81044969426804
237,96.0,0.0,7.0,3.0,1.0,166.64869057216515
238,160.0,0.0,7.0,3.0,2.0,165.69050986210945
239,224.0,0.0,7.0,3.0,3.0,165.95086545701665
240,40.0,0.0,7.0,4.0,0.0,170.1870405324312
241,104.0,0.0,7.0,4.0,1.0,168.76484097881416
242,168.0,0.0,7.0,4.0,2.0,167.60248087278052
243,232.0,0.0,7.0,4.0,3.0,167.9264366002318
244,48.0,0.0,7.0,5.0,0.0,172.29231470823618
245,112.0,0.0,7.0,5.0,1.0,170.63897718671478
246,176.0,0.0,7.0,5.0,2.0,169.31421347795543
247,240.0,0.0,7.0,5.0,3.0,169.61019120318815
248,56.0,0.0,7.0,6.0,0.0,174.01318306001957
249,120.0,0.0,7.0,6.0,1.0,172.17915013975215
250,184.0,0.0,7.0,6.0,2.0,170.66203749752512
251,248.0,0.0,7.0,6.0,3.0,170.98782694868117
252,64.0,0.0,7.0,7.0,0.0,175.4682674734651
253,128.0,0.0,7.0,7.0,1.0,173.41408945084848
254,192.0,0.0,7.0,7.0,2.0,171.79169946631376
255,256.0,0.0,7.0,7.0,3.0,171.9951054727258
