,Axial,Radial,Value,Relative Uncertainty
0,0,0,7718692.200326298,0.005836599404862311
1,0,1,7722904.277616206,0.005729058574921276
2,0,2,8531602.899995109,0.00515352514529498
3,0,3,9753474.973950924,0.005093209282672693
4,1,0,8892375.089350749,0.005345929787973623
5,1,1,8324427.279192021,0.0051632946995401365
6,1,2,8940919.002240121,0.004532547499760904
7,1,3,9937235.057663593,0.00538928453415377
8,2,0,9514714.993662292,0.004532288947592075
9,2,1,8833253.63496342,0.004579254541098819
10,2,2,9432218.056649107,0.0039035790775663205
11,2,3,10362826.117174406,0.00461230922974229
12,3,0,9167189.081957642,0.0048685551783753675
13,3,1,8564042.239448197,0.00432645110724979
14,3,2,9154945.948752532,0.004118499851489639
15,3,3,10043842.91475307,0.004555797088725444
16,4,0,8345229.722192623,0.0049669095310723175
17,4,1,7890150.978951798,0.004804454588424432
18,4,2,8368896.464418693,0.005119659993355425
19,4,3,9103237.133729678,0.004490385157897202
20,5,0,7186044.946005697,0.005107421166527675
21,5,1,6846396.841225306,0.005329947522982402
22,5,2,7234068.288240632,0.005104760217686495
23,5,3,7975074.261796369,0.005643855909571497
24,6,0,5792441.137879566,0.006880135821454512
25,6,1,5557957.79641673,0.007363061320063606
26,6,2,5922847.8794560945,0.006528777379389234
27,6,3,6531973.737333864,0.007108097791999669
28,7,0,4418822.88716362,0.00910873591830847
29,7,1,4580562.049951279,0.007944638225001015
30,7,2,4994041.269899246,0.008643737527922192
31,7,3,5653011.346793091,0.007546159419359382
