,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.27026290407222
1,65.0,0.0,0.0,0.0,1.0,3.771321464515165
2,129.0,0.0,0.0,0.0,2.0,3.2975156545962188
3,193.0,0.0,0.0,0.0,3.0,3.2047911829865443
4,9.0,0.0,0.0,1.0,0.0,8.967864046505284
5,73.0,0.0,0.0,1.0,1.0,7.834746579268657
6,137.0,0.0,0.0,1.0,2.0,6.995407832394449
7,201.0,0.0,0.0,1.0,3.0,7.0989817057233555
8,17.0,0.0,0.0,2.0,0.0,13.88692183845661
9,81.0,0.0,0.0,2.0,1.0,12.285173089823274
10,145.0,0.0,0.0,2.0,2.0,10.909729747547694
11,209.0,0.0,0.0,2.0,3.0,11.419579226458346
12,25.0,0.0,0.0,3.0,0.0,18.655774753520596
13,89.0,0.0,0.0,3.0,1.0,16.50995666847167
14,153.0,0.0,0.0,3.0,2.0,14.723832696507468
15,217.0,0.0,0.0,3.0,3.0,15.543187226834377
16,33.0,0.0,0.0,4.0,0.0,22.899206580391393
17,97.0,0.0,0.0,4.0,1.0,20.406532547113425
18,161.0,0.0,0.0,4.0,2.0,18.28147147291953
19,225.0,0.0,0.0,4.0,3.0,19.32554562737642
20,41.0,0.0,0.0,5.0,0.0,26.562258586759352
21,105.0,0.0,0.0,5.0,1.0,23.675836227593013
22,169.0,0.0,0.0,5.0,2.0,21.27134352119674
23,233.0,0.0,0.0,5.0,3.0,22.460499962357392
24,49.0,0.0,0.0,6.0,0.0,29.55293554471583
25,113.0,0.0,0.0,6.0,1.0,26.33831028377361
26,177.0,0.0,0.0,6.0,2.0,23.733590150826
27,241.0,0.0,0.0,6.0,3.0,25.05744950597503
28,57.0,0.0,0.0,7.0,0.0,32.07366414377724
29,121.0,0.0,0.0,7.0,1.0,28.492321835406276
30,185.0,0.0,0.0,7.0,2.0,25.73755012534439
31,249.0,0.0,0.0,7.0,3.0,27.032677599631576
32,2.0,0.0,1.0,0.0,0.0,32.406362768342845
33,66.0,0.0,1.0,0.0,1.0,31.898427192085546
34,130.0,0.0,1.0,0.0,2.0,31.434026122688223
35,194.0,0.0,1.0,0.0,3.0,31.392068963335195
36,10.0,0.0,1.0,1.0,0.0,36.90418818439644
37,74.0,0.0,1.0,1.0,1.0,35.8403945524361
38,138.0,0.0,1.0,1.0,2.0,34.97256760298759
39,202.0,0.0,1.0,1.0,3.0,35.07309350594476
40,18.0,0.0,1.0,2.0,0.0,41.38705957634464
41,82.0,0.0,1.0,2.0,1.0,39.980580039058836
42,146.0,0.0,1.0,2.0,2.0,38.746309465955434
43,210.0,0.0,1.0,2.0,3.0,39.04368429557583
44,26.0,0.0,1.0,3.0,0.0,45.86403725888865
45,90.0,0.0,1.0,3.0,1.0,43.98615023471382
46,154.0,0.0,1.0,3.0,2.0,42.30039450090548
47,218.0,0.0,1.0,3.0,3.0,42.88106749317038
48,34.0,0.0,1.0,4.0,0.0,49.826752031914786
49,98.0,0.0,1.0,4.0,1.0,47.60380939606884
50,162.0,0.0,1.0,4.0,2.0,45.581825576518646
51,226.0,0.0,1.0,4.0,3.0,46.258119290434806
52,42.0,0.0,1.0,5.0,0.0,53.19788123795184
53,106.0,0.0,1.0,5.0,1.0,50.68943254147625
54,170.0,0.0,1.0,5.0,2.0,48.38612103741524
55,234.0,0.0,1.0,5.0,3.0,49.26982229452572
56,50.0,0.0,1.0,6.0,0.0,56.001932641845144
