,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_101,4_0,4_30,4_60,4_90,4_115,5_0,5_30,5_60,5_90,5_120,5_130,6_0,6_30,6_60,6_84,7_0,7_30,7_46,8_0,8_30,8_33,9_0,9_30,9_45,10_0,10_30,10_46,11_0,11_30,11_43,12_0,12_30,12_60,12_64
360790,1.5764504360279994e-20,5.041176215746567e-19,5.295214043619448e-19,5.289958207062577e-19,4.671042187552812e-19,5.14986639531993e-19,5.14768183146262e-19,5.135139289317784e-19,5.890392609540501e-19,5.951627160770297e-19,5.946701894849856e-19,5.942766413506588e-19,5.942764259368517e-19,5.814114151531539e-19,5.802325586795351e-19,5.802653914136205e-19,5.802832962231709e-19,5.802784729147794e-19,6.197592785209719e-19,6.281546279291754e-19,6.272842823564542e-19,6.271741029793099e-19,6.27206791789118e-19,6.030984244705285e-19,5.987362586678875e-19,5.989912333886082e-19,5.990123958552553e-19,5.989148959300894e-19,5.989100246149288e-19,6.079814344450401e-19,6.083325324924781e-19,6.085888266130938e-19,6.084556634809554e-19,6.137038574900935e-19,6.126350605637436e-19,6.128362551494461e-19,5.918115574900101e-19,5.876298019834748e-19,5.875289779645517e-19,6.087520313601068e-19,6.161650473161068e-19,6.162750500933384e-19,6.069317279101478e-19,6.040608669236478e-19,6.033396414501054e-19,6.051941895648072e-19,6.009239276986787e-19,6.0124207874138e-19,6.109579665720829e-19,6.200009155373016e-19,6.201839058292507e-19,6.201872131520922e-19
360791,4.3141620452718654e-24,9.938091483926509e-23,1.0424723916529264e-22,1.0414072028105143e-22,9.153088736115092e-23,1.0100574392820096e-22,1.0094586975851617e-22,1.0069689710616722e-22,1.1598135003338305e-22,1.1663868360329853e-22,1.165383261251697e-22,1.164602805994352e-22,1.164602380034987e-22,1.1354985255386655e-22,1.136815324537627e-22,1.1368801857463268e-22,1.1369164800928567e-22,1.136906908974121e-22,1.2184363349962714e-22,1.2267205898547927e-22,1.2250518388852566e-22,1.2248330980751112e-22,1.2248977370781392e-22,1.1692449647149948e-22,1.1677859017261398e-22,1.1682671488468513e-22,1.1683083353426014e-22,1.1681162005435676e-22,1.168106610949951e-22,1.1860078408641108e-22,1.1817623710258433e-22,1.1822510134005471e-22,1.1820021882306548e-22,1.190822088548358e-22,1.1895259268748639e-22,1.1899111618336057e-22,1.1360829434067003e-22,1.1353291582130378e-22,1.1351372321828654e-22,1.185790177893529e-22,1.188612836855921e-22,1.188824587090642e-22,1.16107959846477e-22,1.1595010492332105e-22,1.158145179166927e-22,1.1454436313718546e-22,1.1414138660166226e-22,1.1420393428058413e-22,1.1832427576209637e-22,1.1844886087069967e-22,1.18481489048565e-22,1.1848199830813804e-22
36080.09c,8.052746947428588e-14,1.7198421250630636e-11,5.122992712562218e-11,5.4772925355270775e-11,5.480822319508761e-11,6.471004283711341e-11,7.798660142430132e-11,8.271791589311317e-11,8.285072504046829e-11,8.395837115836954e-11,8.440273718872177e-11,8.562291765079052e-11,8.562397227750285e-11,8.575284712392454e-11,8.840618746919532e-11,8.963766032791518e-11,9.021394699807793e-11,9.024577323713338e-11,9.014328612177906e-11,8.901741334791218e-11,8.84869092551889e-11,8.920064759920746e-11,8.915101173362901e-11,8.911156818169804e-11,8.97476525154553e-11,9.014706498852314e-11,9.028683293411366e-11,9.0407027924168e-11,9.041947159594549e-11,9.04412520504724e-11,9.034387302803463e-11,9.033578810074428e-11,8.988886468245737e-11,8.990730806607196e-11,8.974235552170718e-11,8.984895241494963e-11,8.988053814562775e-11,9.049663757385485e-11,9.052889692301187e-11,9.061667161349811e-11,9.080975338589334e-11,9.100485744881481e-11,9.096548043085064e-11,9.045019411104851e-11,9.036777609206005e-11,9.030739671777598e-11,9.06404483294906e-11,9.042939012633784e-11,9.046838765367249e-11,9.03427692006107e-11,9.058961497274288e-11,9.061461068808936e-11
360810,9.773260566901268e-16,8.363199255087249e-13,2.6654902790286183e-12,2.875430302914916e-12,2.8756672316500293e-12,3.581654082673022e-12,4.505015075893781e-12,4.857039410808354e-12,4.856432273746454e-12,4.9910861466441804e-12,5.0945047249251245e-12,5.184093271263508e-12,5.184177947722018e-12,5.183879997176339e-12,5.2645319569356416e-12,5.341326286366488e-12,5.38402629163042e-12,5.386796425714695e-12,5.402236784260008e-12,5.366020257555099e-12,5.3175716371748866e-12,5.362001917398569e-12,5.358520345231383e-12,5.3515811675675604e-12,5.428280581475082e-12,5.452355929432949e-12,5.462360869325024e-12,5.472419594818509e-12,5.473493226108674e-12,5.4752593358313916e-12,5.4621434957981006e-12,5.446990296415908e-12,5.4156250110833554e-12,5.412439060120289e-12,5.380736514971222e-12,5.398179847471949e-12,5.400169817831781e-12,5.431625440432414e-12,5.436583889391602e-12,5.437186888467105e-12,5.434903511183542e-12,5.43599632857892e-12,5.434955875832504e-12,5.453513679182761e-12,5.444021110980085e-12,5.449395949748444e-12,5.479349934387822e-12,5.485260087020158e-12,5.483485388892154e-12,5.477521362323489e-12,5.458388330155155e-12,5.458103328590567e-12
360811,5.57120856008398e-21,1.945824979140915e-19,4.1853449267796235e-19,4.413252162971481e-19,4.666052033229549e-19,5.430209548691128e-19,6.381911346943961e-19,6.719062958924969e-19,6.379500520160913e-19,6.459646434750499e-19,6.487753211003477e-19,6.567035965065967e-19,6.567104702651689e-19,6.574319799911386e-19,6.737105478643197e-19,6.817109009148162e-19,6.854582611419803e-19,6.856643931342378e-19,9.22249889714117e-19,9.123115630066055e-19,9.073904658621973e-19,9.138227736612519e-19,9.133779493243466e-19,7.973726252486874e-19,8.01824866659157e-19,8.049941461326541e-19,8.060922078032451e-19,8.070192391637431e-19,8.071159290671395e-19,8.386488354764156e-19,8.381506337746827e-19,8.381244311629241e-19,8.344614622128133e-19,7.717008651725247e-19,7.70376510385118e-19,7.712039124107883e-19,7.836885221982615e-19,7.8739728128882595e-19,7.876270891914569e-19,7.624919966088026e-19,7.644658638268961e-19,7.659140968741098e-19,7.013901240689753e-19,6.96840451479443e-19,6.961757929641348e-19,8.87643007554375e-19,8.913445347930338e-19,8.896022791969544e-19,8.065400093344133e-19,8.04515923429704e-19,8.064415564598152e-19,8.066354801539118e-19
36082.09c,4.6493148910642407e-11,4.437047491040648e-08,1.4285853294397425e-07,1.5363075591134336e-07,1.523136702216091e-07,1.7453082285205848e-07,2.0835028102975063e-07,2.214058927345616e-07,2.2257308731060416e-07,2.322226739155655e-07,2.3663678639168997e-07,2.411648311471862e-07,2.4116844117221524e-07,2.405263721340019e-07,2.398968078339462e-07,2.484084616869193e-07,2.482718281568769e-07,2.483096347295952e-07,2.486490416728458e-07,2.502841257345569e-07,2.494177039147424e-07,2.5161225880617007e-07,2.517937283777534e-07,2.5142386231138206e-07,2.596988987378675e-07,2.6062480451295126e-07,2.5966780740138115e-07,2.603478693066191e-07,2.603865960741761e-07,2.606841385619157e-07,2.59811419967752e-07,2.572540456014902e-07,2.589544612429644e-07,2.588974272393695e-07,2.5583803973802105e-07,2.5499603756302165e-07,2.5481093917441897e-07,2.5616922787988215e-07,2.560612483139355e-07,2.561004531585146e-07,2.530752409733465e-07,2.5469374258069025e-07,2.548384078323049e-07,2.592914112043649e-07,2.5857077152356595e-07,2.5856288144829216e-07,2.571642992509058e-07,2.5640030114507935e-07,2.5634704959821573e-07,2.571585568962033e-07,2.576830406722591e-07,2.579174336139764e-07
36083.09c,2.8581698404153206e-07,8.69337421957268e-06,1.291919897241209e-05,1.3159497536383124e-05,1.3152013738143429e-05,1.3723320382673821e-05,1.427493491789847e-05,1.443181193381736e-05,1.4444389468175612e-05,1.4485557628296241e-05,1.45631649067125e-05,1.4594685180483726e-05,1.4594698222199192e-05,1.4591453216756526e-05,1.463304737109881e-05,1.4643087924236861e-05,1.4644839375169196e-05,1.4645032642193596e-05,1.4643732978655234e-05,1.4640108172304732e-05,1.4610147199202286e-05,1.4608784159236476e-05,1.4605330780249413e-05,1.4606006567527711e-05,1.4611701135995563e-05,1.462676472561387e-05,1.4623212432566642e-05,1.4631249623903953e-05,1.4631515066661698e-05,1.463034870116051e-05,1.4623745374520781e-05,1.4617383101647198e-05,1.4615704061110002e-05,1.4616491186540477e-05,1.4601691413309688e-05,1.4597568386827417e-05,1.4596133462754724e-05,1.4588772401168568e-05,1.4589877066790451e-05,1.4592073524524627e-05,1.4604231224233685e-05,1.4599621672002343e-05,1.4598184313420811e-05,1.4588751515464625e-05,1.4590904297800769e-05,1.4591075595443679e-05,1.4580083488352107e-05,1.4578400985348372e-05,1.4579451362976809e-05,1.4590332942606762e-05,1.4592907650117861e-05,1.459214628760684e-05
360831,3.923098064289707e-09,2.725806374669368e-09,1.8634826512544375e-09,1.8038091463596188e-09,1.6438097039142441e-09,1.5510547906406797e-09,1.430825215500766e-09,1.3880129289721614e-09,1.5747541200352453e-09,1.5507790250401435e-09,1.5269528357336301e-09,1.51302876545065e-09,1.5130197104401541e-09,1.4955363849567535e-09,1.4911041932620686e-09,1.4859948636328316e-09,1.4818021916658785e-09,1.4816592527098185e-09,1.5859875047741631e-09,1.5849712783762665e-09,1.5831894580754225e-09,1.5796076780029458e-09,1.57967342802559e-09,1.4888540320988701e-09,1.4891978071077532e-09,1.4882997837592528e-09,1.4890105016196146e-09,1.4879022724363143e-09,1.4878201537592712e-09,1.5249313525346413e-09,1.5220041378476065e-09,1.5238211155315919e-09,1.5233111410145512e-09,1.5244564576861164e-09,1.524551223718568e-09,1.5248716875583653e-09,1.461142994685324e-09,1.4613177955972483e-09,1.4611651091513358e-09,1.5123349865428226e-09,1.512412964785801e-09,1.5127652051038194e-09,1.4880047894766576e-09,1.4874219563933962e-09,1.486398681947646e-09,1.482477930252658e-09,1.4807901359114847e-09,1.4811560086695676e-09,1.5264568170992805e-09,1.5281436949980506e-09,1.5291683463797743e-09,1.5291607750361804e-09
36084.09c,5.306234414234474e-07,1.805046837822324e-05,3.116131861539321e-05,3.2171828680895416e-05,3.21497414594604e-05,3.468591916577201e-05,3.726196605797903e-05,3.822261756020374e-05,3.824079068026851e-05,3.8760518749905514e-05,3.930554031711641e-05,3.958715354860242e-05,3.958735903569433e-05,3.958776122470474e-05,3.967198254886837e-05,3.974735016755996e-05,3.9817384420428936e-05,3.982078273548991e-05,3.9836034736121866e-05,3.992957278474857e-05,3.9983237610177844e-05,4.005175353630437e-05,4.004473783918994e-05,4.0032939215598956e-05,4.0021942424024624e-05,4.0049889318930674e-05,4.004693055490764e-05,4.0085327311243775e-05,4.008761174556406e-05,4.009277233093401e-05,4.010855451105954e-05,4.008875522087242e-05,4.0081512857572746e-05,4.008090296364646e-05,4.009001696610684e-05,4.0089920449176834e-05,4.0086165794922694e-05,4.0077171413834335e-05,4.007659381834481e-05,4.007821302210127e-05,4.00753352264308e-05,4.007814781178622e-05,4.0078008835226175e-05,4.0094580556430694e-05,4.0100606307971086e-05,4.0100457989638034e-05,4.0110252225654595e-05,4.011110077219604e-05,4.011234113771374e-05,4.0096804110350785e-05,4.0079529943574965e-05,4.008061752588165e-05
36085.09c,1.9503672990622715e-07,6.1996459797111984e-06,9.843268101588702e-06,1.0088867033896672e-05,1.0082357484983475e-05,1.0766506610738538e-05,1.1404123884131092e-05,1.1615192728482199e-05,1.162182837689306e-05,1.1744678941890022e-05,1.1870496783137091e-05,1.1929413345910805e-05,1.1929452087763788e-05,1.1929008443541785e-05,1.1954761404415026e-05,1.1973146491974281e-05,1.1987507097033947e-05,1.1988136215490538e-05,1.199110204058947e-05,1.2010944601283957e-05,1.2015820317005183e-05,1.2028963226151842e-05,1.2026947095638458e-05,1.2024494048658062e-05,1.2023387962178018e-05,1.203190652471255e-05,1.2030691296410385e-05,1.2039242922557583e-05,1.2039692098750934e-05,1.204062423098059e-05,1.2042605326486885e-05,1.2036290462749208e-05,1.2034532704002753e-05,1.2034505707865182e-05,1.2033086045262468e-05,1.2032465822767352e-05,1.203134145391629e-05,1.2027442560514535e-05,1.2027552611168578e-05,1.2028383248418052e-05,1.203045063892105e-05,1.2029903850637604e-05,1.20295858599758e-05,1.2030256182363258e-05,1.2031762262222886e-05,1.203174666701154e-05,1.2031945251457803e-05,1.2031838768282332e-05,1.2032360967863484e-05,1.2031042244639885e-05,1.2027246091566115e-05,1.2027269478065081e-05
360851,2.398671541461249e-08,1.599341283213508e-08,1.0612120032331924e-08,1.0243831140765151e-08,9.356304734512469e-09,8.718051329595815e-09,7.97019222190615e-09,7.70698088109598e-09,8.732997169331354e-09,8.581277724288155e-09,8.432932519607618e-09,8.347303527597317e-09,8.347248049970768e-09,8.271311828762207e-09,8.243652209686471e-09,8.212057572858984e-09,8.18653878102084e-09,8.185667260358262e-09,8.758518051115773e-09,8.747913963919138e-09,8.738300534193628e-09,8.71623285514036e-09,8.716609029034627e-09,8.195096304121147e-09,8.196200638939688e-09,8.18992593886426e-09,8.194299706799757e-09,8.187485849777852e-09,8.186984553544022e-09,8.410632176598627e-09,8.396392555967261e-09,8.407266343770268e-09,8.404528475423306e-09,8.402289629382753e-09,8.403594736324686e-09,8.405393531143872e-09,8.050365166164911e-09,8.052190721305388e-09,8.051421720486413e-09,8.332611761763506e-09,8.332444152730234e-09,8.334305632611507e-09,8.206863044448588e-09,8.203875388438454e-09,8.19871386064803e-09,8.178895713349353e-09,8.170866728289327e-09,8.172797975226725e-09,8.425354715325422e-09,8.434525982860904e-09,8.440408383474434e-09,8.440338170837662e-09
36086.09c,1.0064547084284499e-06,3.2015750692100365e-05,5.231583200559825e-05,5.376502852562677e-05,5.373075045051796e-05,5.730807074926825e-05,6.087474733994793e-05,6.214080373607829e-05,6.217628960227744e-05,6.28225294967883e-05,6.352280981000424e-05,6.387647360642888e-05,6.387672518402642e-05,6.38739298274072e-05,6.401289042557587e-05,6.411369955225094e-05,6.420055732958248e-05,6.42045934316309e-05,6.422071130166429e-05,6.43228476563727e-05,6.435143296575423e-05,6.442838569229134e-05,6.441711683799031e-05,6.440384086500749e-05,6.439780705693998e-05,6.444442161387751e-05,6.443764340160525e-05,6.448888166361258e-05,6.449172950230687e-05,6.449670127628003e-05,6.450774027984977e-05,6.447661340480149e-05,6.446789881644168e-05,6.446796763044791e-05,6.44615009364074e-05,6.445694290356348e-05,6.445077707464245e-05,6.443187944917696e-05,6.443258178933904e-05,6.443714886869456e-05,6.444829020893782e-05,6.444639589584428e-05,6.444461902215687e-05,6.445168051911676e-05,6.446077436223422e-05,6.446081302712893e-05,6.446144683156072e-05,6.446065891404113e-05,6.446344077437664e-05,6.445599452453618e-05,6.443797384865172e-05,6.443828658374629e-05
360870,1.3152602613573603e-08,8.714612053440277e-09,5.7582747517471825e-09,5.556134369893702e-09,5.078176778191208e-09,4.722736226743393e-09,4.312246561482847e-09,4.167867792974913e-09,4.7210624419855775e-09,4.637435773207125e-09,4.556030916657272e-09,4.509051378925086e-09,4.509020930921496e-09,4.4653555830878356e-09,4.450095065584363e-09,4.4327394505089745e-09,4.41872062684374e-09,4.418242104386948e-09,4.729043526086574e-09,4.7227872116725015e-09,4.717587666355074e-09,4.7054783158514085e-09,4.7056830856710166e-09,4.4228905594016554e-09,4.423555983798142e-09,4.420084553986724e-09,4.422482449215726e-09,4.418745271832544e-09,4.418470209802853e-09,4.537842488655587e-09,4.530262687324542e-09,4.536207417286208e-09,4.534718636447268e-09,4.534295138779686e-09,4.5350763557925615e-09,4.536041563384794e-09,4.347329511562446e-09,4.348356240936264e-09,4.34794477497645e-09,4.495951476737804e-09,4.4957321955603786e-09,4.496740413931248e-09,4.426974104944765e-09,4.425426147659138e-09,4.422663951975229e-09,4.415570867659042e-09,4.411352236349923e-09,4.412377341264622e-09,4.543897726954027e-09,4.548878927102637e-09,4.552096597204246e-09,4.5520574137055755e-09
360880,3.978754976883519e-08,2.619957925519034e-08,1.7228601635780078e-08,1.6616259301989458e-08,1.5193014853443425e-08,1.4100818766463517e-08,1.285609752583632e-08,1.2419074441819003e-08,1.406327089479273e-08,1.3809110051267488e-08,1.3562151649832799e-08,1.3419941553762984e-08,1.3419849455223691e-08,1.3293650997247023e-08,1.3247301774530892e-08,1.3194839283443715e-08,1.3152447100150397e-08,1.315100008550432e-08,1.4075635080463939e-08,1.4055646933111663e-08,1.4040202196535798e-08,1.4003547199617403e-08,1.4004164676781936e-08,1.3159521942385715e-08,1.3161535387603381e-08,1.3150859594133046e-08,1.315809629013394e-08,1.3146792744148474e-08,1.3145961474921186e-08,1.3503187523616373e-08,1.3481099297817727e-08,1.349898370652385e-08,1.3494607659070468e-08,1.3492127522157722e-08,1.3494598222667227e-08,1.3497464208818087e-08,1.2936539650975891e-08,1.293988179834219e-08,1.293867450033849e-08,1.3377409765486418e-08,1.3376508352195497e-08,1.3379523611673348e-08,1.3173054319058062e-08,1.3168566068015582e-08,1.316045708726347e-08,1.3141490007981483e-08,1.3129298729055732e-08,1.3132314790206948e-08,1.3522359450502724e-08,1.3537110237778374e-08,1.3546763431822187e-08,1.3546643786135226e-08
360890,9.422893877700975e-10,6.132901822296559e-10,3.9974494676862e-10,3.8521476141562446e-10,3.5251482190883313e-10,3.258980733770777e-10,2.9631056002184237e-10,2.8595603356740996e-10,3.2366952145564743e-10,3.1760497866155355e-10,3.117315945168257e-10,3.083623068763613e-10,3.0836012765608863e-10,3.055865396837774e-10,3.0448196439241695e-10,3.0324205132730565e-10,3.022391973452685e-10,3.0220498485241974e-10,3.2343558724816327e-10,3.2291735434033464e-10,3.225642858790237e-10,3.2169594061985047e-10,3.21710425483155e-10,3.021921878256204e-10,3.022372295839397e-10,3.019769844490896e-10,3.0214741872384133e-10,3.0188007785497756e-10,3.0186044623627167e-10,3.1013474619034763e-10,3.0965108832346915e-10,3.1007000298072346e-10,3.099718804317007e-10,3.0985952946599037e-10,3.099229072653937e-10,3.09988336779844e-10,2.971505778951957e-10,2.972390253337099e-10,2.972120954940401e-10,3.0720162950491023e-10,3.0717091226268986e-10,3.072406982556412e-10,3.0255179021273107e-10,3.0245613311504724e-10,3.022751675725779e-10,3.019248393818877e-10,3.016586184185386e-10,3.0172615587225594e-10,3.1063972426046537e-10,3.109790526153149e-10,3.112043670540876e-10,3.1120148937258954e-10
360900,1.7354482590119354e-10,1.109736436703673e-10,7.149352780170065e-11,6.881688527120519e-11,6.305243502960195e-11,5.795231975100804e-11,5.2496891971069787e-11,5.0593294893553344e-11,5.7233218352939216e-11,5.610255651202287e-11,5.5020927751175516e-11,5.4401434924367344e-11,5.4401034275912623e-11,5.39428387437171e-11,5.373686323481646e-11,5.3508469644571626e-11,5.332370128591309e-11,5.3317418668920824e-11,5.706289745753785e-11,5.695119366233616e-11,5.688954420777144e-11,5.6729932175391674e-11,5.6732480467787016e-11,5.3254180507945926e-11,5.326484754898005e-11,5.321572422045546e-11,5.324699380565002e-11,5.319809261171454e-11,5.3194495749493454e-11,5.4676357141364723e-11,5.459632668980176e-11,5.467246397068857e-11,5.46550921301044e-11,5.461814953274111e-11,5.4632258716174475e-11,5.464355118426317e-11,5.2390728789511046e-11,5.240879897568665e-11,5.24042416433179e-11,5.4140245866171715e-11,5.412931004765182e-11,5.414172315730253e-11,5.333280385950681e-11,5.3318314532105415e-11,5.32878050303108e-11,5.324855403656085e-11,5.3207478170698304e-11,5.321868415772794e-11,5.477852553856908e-11,5.4838378023837706e-11,5.487918786084017e-11,5.487864675977784e-11
360910,3.1639299822249966e-11,2.002757983306615e-11,1.2865196961846842e-11,1.2379736675844289e-11,1.1350187587927858e-11,1.0402116294806612e-11,9.41484203332418e-12,9.069817709328688e-12,1.0262442115061718e-11,1.0054786098959578e-11,9.85988365480614e-12,9.747578941914218e-12,9.747506076807867e-12,9.664549100486677e-12,9.626561196203503e-12,9.584721369739186e-12,9.550935190687099e-12,9.549793344873693e-12,1.0222583739282264e-11,1.019942813010402e-11,1.0188524914601315e-11,1.0159601795791922e-11,1.0160029815062414e-11,9.533353650725175e-12,9.536377959084724e-12,9.527560941702064e-12,9.533286778915212e-12,9.524483419294282e-12,9.52383111297259e-12,9.791156994321655e-12,9.777068487181305e-12,9.79091018185466e-12,9.787567651402597e-12,9.778782211706088e-12,9.781937605907147e-12,9.783885628504114e-12,9.381888790132854e-12,9.385077620842602e-12,9.384273769592107e-12,9.691934014167934e-12,9.688649208459599e-12,9.690863680038066e-12,9.548251671291261e-12,9.54608033739781e-12,9.54075509230536e-12,9.535311403405627e-12,9.529073060952359e-12,9.530930079166938e-12,9.81027407821657e-12,9.821092054466609e-12,9.828525795484741e-12,9.828426339168804e-12
360920,3.41054306263228e-12,2.1542569651805842e-12,1.391586673539386e-12,1.3397510655441343e-12,1.2283324498447926e-12,1.1261007520227178e-12,1.0212019272159787e-12,9.843462073168713e-13,1.1148047459090106e-12,1.0923719275603637e-12,1.071807400366924e-12,1.059807471361004e-12,1.0597996420367914e-12,1.050070091113278e-12,1.0459402265622526e-12,1.0413953499956665e-12,1.0377359626065192e-12,1.0376133362459491e-12,1.1110515733490484e-12,1.108304566561368e-12,1.1071323135025603e-12,1.1040439331057555e-12,1.1040848023864664e-12,1.03592794879305e-12,1.0364177416427883e-12,1.0355145388251091e-12,1.0361378737848047e-12,1.0352054119102794e-12,1.035135499667682e-12,1.0641503744842186e-12,1.0625698344507654e-12,1.0640721038286983e-12,1.0636665617566717e-12,1.0626179755133625e-12,1.0630287309262812e-12,1.0632315920397419e-12,1.0196107513577065e-12,1.019905596317243e-12,1.0198169170230818e-12,1.0530906507288932e-12,1.05257588553506e-12,1.052813104924851e-12,1.0374418332446302e-12,1.0372440292407087e-12,1.036665935077441e-12,1.035955407833263e-12,1.0353836858086692e-12,1.0355703511812002e-12,1.0661393285964995e-12,1.0673349062671954e-12,1.0681481606544579e-12,1.0681374816586404e-12
360930,6.931247620970579e-13,4.3327200338594446e-13,2.7915745374105057e-13,2.686901960762562e-13,2.464489331745778e-13,2.252581348905417e-13,2.0412011735528015e-13,1.966863177308258e-13,2.2313297222186002e-13,2.1854499055294355e-13,2.1441943099282522e-13,2.119984377141155e-13,2.1199685397360946e-13,2.098155372810993e-13,2.0896856659418787e-13,2.080436577740394e-13,2.0729953227814473e-13,2.072747662422282e-13,2.220592964143381e-13,2.2143998082466786e-13,2.2120963150125978e-13,2.20586857413306e-13,2.2059432078521172e-13,2.0693062917332722e-13,2.070514249876292e-13,2.0687020643870527e-13,2.0699683896080434e-13,2.0681018438638697e-13,2.0679609498934438e-13,2.1252347741698174e-13,2.1221683009452107e-13,2.1252017187479258e-13,2.1243483838034565e-13,2.1221724310681477e-13,2.1231345821947817e-13,2.123522832677767e-13,2.036811417814807e-13,2.0374016418013796e-13,2.0372285325802542e-13,2.1029275906588758e-13,2.1015946867685912e-13,2.1020652902452613e-13,2.071680751303773e-13,2.0713888802614983e-13,2.0702736875325798e-13,2.0687808907234827e-13,2.0679033589957703e-13,2.0682414820158767e-13,2.130157876515006e-13,2.1325653287907722e-13,2.134218132810763e-13,2.1341964489252122e-13
360940,2.054895934165846e-14,1.353493308689784e-14,9.223494158218327e-15,8.924159599414514e-15,8.145353608561885e-15,7.593078016644454e-15,7.0003654415297565e-15,6.7858854810699245e-15,7.764084088608609e-15,7.632698870626698e-15,7.519188444292722e-15,7.44924255059656e-15,7.449195947273989e-15,7.32451772877509e-15,7.29973335632769e-15,7.271755986243476e-15,7.249485562889838e-15,7.248754428054567e-15,7.778710003313905e-15,7.761623698490724e-15,7.753628107435874e-15,7.735673478955125e-15,7.73584515633357e-15,7.275729612170075e-15,7.281595959546837e-15,7.277585445245907e-15,7.281494272886328e-15,7.276149912909763e-15,7.27573328487632e-15,7.45421189064883e-15,7.440568342610493e-15,7.450103742109262e-15,7.446458164955071e-15,7.44909649811114e-15,7.452392738302654e-15,7.453683662640267e-15,7.146741207176717e-15,7.146863154655896e-15,7.146163924453638e-15,7.38438093362554e-15,7.379339785686884e-15,7.38086373903674e-15,7.267127315775292e-15,7.265788658732775e-15,7.261361555602043e-15,7.239680398914397e-15,7.236055454901983e-15,7.23725079820648e-15,7.471928066082599e-15,7.480567621850555e-15,7.485921493687103e-15,7.48586232127798e-15
360950,9.334044454046185e-16,6.220544361344815e-16,4.471232829894699e-16,4.345941006950401e-16,3.9566674693116998e-16,3.721022513165715e-16,3.484130539405584e-16,3.393761596908287e-16,3.924999784522968e-16,3.86564125642858e-16,3.8231001217847266e-16,3.7935129963358935e-16,3.7934924004705045e-16,3.7002603462200304e-16,3.6885665228656047e-16,3.675285093143827e-16,3.664910592926656e-16,3.6645887016794666e-16,3.9443832699066896e-16,3.9328812862923636e-16,3.929080492384211e-16,3.9215344196567926e-16,3.9215185147645163e-16,3.6925560131273225e-16,3.6982516517440656e-16,3.697446562404943e-16,3.6993351427034935e-16,3.697218776686594e-16,3.697037287678903e-16,3.777368281182668e-16,3.7693398768757797e-16,3.7739098088620617e-16,3.7713284749012874e-16,3.7750054303215923e-16,3.777720894614411e-16,3.7782208240570826e-16,3.6239026800046574e-16,3.622872066962337e-16,3.6224876722914564e-16,3.7418769187807616e-16,3.7367988060673315e-16,3.7374900439983067e-16,3.679160445210206e-16,3.6790489038638336e-16,3.676765880421132e-16,3.6593492079806727e-16,3.6591318436698077e-16,3.6594953128114654e-16,3.788921220249694e-16,3.793607358427828e-16,3.7963193086584975e-16,3.7962946577375483e-16
360960,3.3299475438655857e-15,2.0772627239804948e-15,1.2922149458205605e-15,1.2396700234245961e-15,1.1379885188829906e-15,1.0336716758111983e-15,9.250561398675925e-16,8.878413961770672e-16,1.0031851937335831e-15,9.811953605511528e-16,9.593407039531723e-16,9.47235686279965e-16,9.47227971750098e-16,9.404476054636715e-16,9.36505593000903e-16,9.32221305939818e-16,9.28725085768329e-16,9.286041305379254e-16,9.934782154091757e-16,9.914263427986054e-16,9.90348931118491e-16,9.872291756362008e-16,9.872877712586555e-16,9.259943177414785e-16,9.258602675085784e-16,9.24756889584121e-16,9.25335072900477e-16,9.24366389498271e-16,9.242970725476298e-16,9.501138011887129e-16,9.490459805556111e-16,9.504445661131268e-16,9.502537817867961e-16,9.49533602620277e-16,9.497083258544325e-16,9.499184248278482e-16,9.110387145456376e-16,9.11571382248642e-16,9.11502773025584e-16,9.412319756432726e-16,9.412469792539386e-16,9.41473201280864e-16,9.275119108964586e-16,9.272495736370234e-16,9.267713637138173e-16,9.268546428338227e-16,9.260799656361992e-16,9.26287634000972e-16,9.53092364121822e-16,9.54072074991239e-16,9.54799152334177e-16,9.547882335091247e-16
360970,2.919113587671554e-18,2.1829961458732672e-17,2.2475832927679666e-17,2.2425956369145326e-17,1.9729912558265787e-17,2.1625834100625122e-17,2.156153850158444e-17,2.148779078508845e-17,2.4705609001094328e-17,2.4826462905156915e-17,2.4796753029503965e-17,2.4773371936258285e-17,2.4773357574732864e-17,2.4203191758522674e-17,2.4226472503366937e-17,2.42241099263293e-17,2.4222186026343598e-17,2.422188355863711e-17,2.5930177686238373e-17,2.6096884060342978e-17,2.6061852881404905e-17,2.6055623576710833e-17,2.605700837756973e-17,2.4852250128785282e-17,2.482454253425151e-17,2.4834436109544792e-17,2.4835887782374876e-17,2.4831251384835358e-17,2.483099405365069e-17,2.5245303754337667e-17,2.5155343042172673e-17,2.516653075855016e-17,2.5160618751615447e-17,2.5340173072726744e-17,2.5314514309323237e-17,2.5322529342096647e-17,2.417291348285242e-17,2.415677248358611e-17,2.4152720202903864e-17,2.521808726833937e-17,2.5274110316266624e-17,2.5278672037239278e-17,2.4713659039426576e-17,2.468141057739899e-17,2.4652926611474208e-17,2.4385966819424234e-17,2.4303338844692634e-17,2.4316165704837648e-17,2.517551552087344e-17,2.520195518685403e-17,2.520906801277608e-17,2.5209160609634876e-17
