,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_101,4_0,4_30,4_60,4_90,4_115,5_0,5_30,5_60,5_90,5_120,5_130,6_0,6_30,6_60,6_84,7_0,7_30,7_46,8_0,8_30,8_33,9_0,9_30,9_45,10_0,10_30,10_46,11_0,11_30,11_43,12_0,12_30,12_60,12_64
30090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-323,0.0,9.018348248089608e-200,8.73315273061561e-200,7.802113235220955e-200,7.006643040323741e-200,1.2917264308830225e-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0986452773278455e-72,2.099848407600241e-72,3.87064776118749e-74,2.3036342579752232e-102,2.687881667486237e-102,4.976708005150619e-104,7.947886443251582e-246,5.802132550709009e-246,5.665696159845261e-246
40080,2.478805819727959e-96,2.0852357794459916e-45,2.0943231989444318e-45,2.1644245749588766e-45,2.6681898220835263e-45,1.4614927023692996e-44,1.1246294096282215e-43,1.1582377642346387e-43,1.5517911351028997e-43,1.7500274019518103e-43,1.4040658464661798e-43,1.3247490608434236e-43,1.3246198639645545e-43,9.031241345079704e-44,1.464400264086359e-43,1.5438351141431273e-43,3.3385481265687118e-43,3.5172371540897524e-43,5.219877235641822e-43,5.261856109171675e-43,4.868783604725491e-43,5.339872840511519e-43,4.218883430487949e-43,4.2551327352529315e-43,4.256955102132831e-43,4.026400665098849e-43,3.3954814545108213e-43,3.2589680651658766e-43,3.23338094736291e-43,2.7724581860562152e-43,2.592304853944541e-43,2.5178042429035613e-43,2.196438803002599e-43,2.2445215089576896e-43,2.6949170591459165e-43,3.438775646537249e-42,3.6072559138571457e-42,5.376185616368375e-42,5.341008660003882e-42,6.157735605894435e-42,9.7058130605101e-43,4.90418988759491e-43,3.6199834167459924e-43,4.774028389693673e-41,4.779291137608276e-41,4.1010392579198603e-41,1.0047423322920756e-41,1.5113980343263499e-41,1.7365955260293401e-41,1.6676677135193836e-41,5.343220931436266e-42,4.6301108058584017e-42
4009.09c,1.6455857421646739e-68,1.2157154795216893e-17,1.220977031656228e-17,1.2614954557153046e-17,1.2616752843793278e-17,7.130716822414135e-17,5.423354046925859e-16,5.584723006583295e-16,5.825983354614888e-16,6.614074425625722e-16,5.300730858240205e-16,4.999739146585207e-16,4.999254539921291e-16,4.890864111733151e-16,7.893354651658552e-16,8.321048288565156e-16,1.8020078342927056e-15,1.8985845566365552e-15,1.905216914262322e-15,1.945856931757619e-15,1.8001640552251024e-15,1.974494389616281e-15,1.5602248441546392e-15,1.5650614988181053e-15,1.5603784071449343e-15,1.4749353189897002e-15,1.2419878930967278e-15,1.191307767547599e-15,1.1818604459050232e-15,1.1765320750264604e-15,1.1013522428660767e-15,1.0697084926089003e-15,9.329346268243916e-16,9.21784180482531e-16,1.1138316349604821e-15,1.431237843820139e-14,1.5305942435418916e-14,2.281042450229465e-14,2.2660833757310552e-14,2.255747201971795e-14,3.542815101080063e-15,1.7821426839502625e-15,1.7799551914999306e-15,2.6830700137568686e-13,2.686135193256051e-13,2.686975630869495e-13,4.6762703385884104e-14,6.981947637595016e-14,7.093202242052281e-14,6.818644968031969e-14,2.1839751119639174e-14,1.8922776609316695e-14
40100,3.1777386616842734e-75,5.659463461212128e-23,5.694938194677251e-23,6.002193291442279e-23,5.985626590791705e-23,2.907275219221209e-22,3.7547999067576936e-21,3.914713995949981e-21,3.9267591542392e-21,4.287597809426749e-21,3.663955841098015e-21,3.534883942566075e-21,3.534284096794145e-21,3.533223272598822e-21,4.360329988485185e-21,4.588726551336622e-21,1.419759912140649e-20,1.532535055261131e-20,1.5354325640199633e-20,1.6041401238186006e-20,1.5062970736409778e-20,1.643023479239733e-20,1.1941459182651547e-20,1.1925617574544395e-20,1.1980860893397222e-20,1.1448424114623192e-20,9.265232311331108e-21,8.571280870083229e-21,8.457297893464968e-21,8.457168083954004e-21,8.223770561565366e-21,7.953553770065554e-21,6.993177537863059e-21,6.941679292641932e-21,9.552297994044317e-21,9.41079613890589e-20,1.0120411965552866e-19,1.6144520670637152e-19,1.6086804997877272e-19,1.6046473772744833e-19,3.42944439377105e-20,1.803855637970086e-20,1.7955669531102933e-20,2.8970133817641917e-19,2.887346689598836e-19,2.8944246325301123e-19,3.2735675295323837e-19,5.350257997378168e-19,5.4572760258572995e-19,5.928350642150661e-19,2.195451307888109e-19,1.8976899911294017e-19
40110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484354663573518e-159,3.696965148127944e-159,5.589707726896127e-159,5.627376291412142e-159,4.567392797491181e-159,3.1183266960806127e-89,1.7707566772424622e-89,2.1404290109671043e-89,1.9488209120394457e-89,1.5684813237045151e-89,3.0683650443451635e-161,3.005347413495716e-161,1.5529247767397553e-161,1.5865641601114997e-161,1.5863868521825311e-161,1.3983121783160216e-55,1.6109402230979245e-54,1.9097823724816732e-54,1.738867479929322e-54,1.3596539676337886e-54,1.8674380350780443e-64,1.0722755340417205e-63,8.784237180062992e-64,3.3347442800664454e-91,3.2624388125246294e-91,6.36295999115035e-54,3.400459043403515e-53,3.515875800056067e-53,2.670179788513072e-53,1.3168616973767505e-76,1.2043227398486454e-76,6.368182163473532e-38,1.1352022800630064e-37,1.702865700007479e-37,4.6713067598828924e-52,5.249354413845666e-63,5.663406868598504e-63,5.722673842191968e-63
5010.09c,1.5848071928120461e-83,3.463454631067352e-30,3.4889581094422506e-30,3.7188417964725256e-30,3.7377696637564936e-30,1.480673187873336e-29,2.31977913466162e-28,2.42846553915385e-28,2.411444039595412e-28,2.5265578687107355e-28,2.1980373343249918e-28,2.1333157719912017e-28,2.1329028670231606e-28,2.1332646125165835e-28,6.583235944653191e-28,8.729936329097762e-28,1.820221813979443e-27,1.91608065807681e-27,1.909345290752386e-27,2.828854936207975e-27,1.809901496929098e-27,2.0960774760272337e-27,1.6826914249376375e-27,1.6883415743319595e-27,8.57851320395663e-28,7.768321874547567e-28,5.910931710086968e-28,5.455458753461541e-28,5.378168527650927e-28,5.370751892411191e-28,5.073246907254568e-28,4.988998823016271e-28,4.406298266167996e-28,4.373594514328212e-28,6.014446118347479e-28,5.2166091322882644e-27,5.633296123491384e-27,9.451039161476302e-27,9.43580070006187e-27,9.405378236309479e-27,2.2319115803633693e-27,1.2279762003174803e-27,1.2242337317935923e-27,1.1554781248330857e-26,1.1082007543344019e-26,1.1062588769026281e-26,1.9013687504286535e-26,3.169609937588346e-26,3.233508496717059e-26,3.588508734677848e-26,1.4446060174890814e-26,1.2615565607763121e-26
5011.09c,1.5801663549140232e-28,3.0549019920383854e-22,4.468987568607781e-21,5.307231234602863e-21,5.284940888364633e-21,6.650867943799206e-21,9.888164053009647e-21,1.130789574768277e-20,1.1425045494109325e-20,1.1850795455545729e-20,1.2012518689603249e-20,1.2271025740255586e-20,1.2271748386195786e-20,1.2177713574444563e-20,8.440254463363457e-19,1.2976890351460608e-18,1.9558792424060823e-18,2.0002050093118156e-18,2.0005880249439194e-18,2.2612443559959264e-18,1.046397650298081e-18,1.3291207785837103e-18,1.175384090127841e-18,1.1753041707707198e-18,4.3213501422025382e-19,3.2124986336182123e-19,1.2584238650309095e-19,1.3063681488429243e-19,1.3033217091642293e-19,1.3029557024495634e-19,8.273856290407681e-20,9.695302050447291e-20,8.811840779352039e-20,8.770923813881344e-20,1.5580857627579186e-19,8.795836808670352e-19,9.39830276156327e-19,1.5739760790632131e-18,1.5774775976547717e-18,1.5749830045772243e-18,4.450412657381079e-19,4.0867792838188447e-19,4.1963269036510303e-19,2.984694922580098e-18,2.667616095988401e-18,2.645145543500451e-18,1.4930245596626003e-18,1.9578655932869275e-18,1.9829518488408747e-18,1.8587127501087476e-18,1.8094623542801577e-18,1.846806871549794e-18
50120,8.671778089447206e-43,1.5477315258867468e-36,2.2405480039127518e-35,2.659404185244072e-35,2.4091195550340745e-35,3.0295686208977353e-35,4.5026687854837867e-35,5.14888663564468e-35,3.1999328108263795e-32,2.670344543306762e-32,1.61536075347615e-32,1.0362204920967597e-32,1.0362200641482548e-32,2.355531060438039e-33,1.6092777381594966e-32,2.001905987177431e-32,3.171490176731874e-32,3.2363051907645886e-32,2.4710248011737037e-27,2.9686924778368317e-27,2.735837773428478e-27,2.930889741351312e-27,2.6653452231445925e-27,8.03800905187973e-27,6.539398589346475e-27,6.346611927562946e-27,5.5537804009190805e-27,5.8132464554120594e-27,5.802853307566474e-27,1.0644813527964829e-27,8.470691604418563e-28,8.356621133485469e-28,7.157374066594313e-28,4.644777405773065e-34,8.235258773811078e-34,4.6493138537788066e-33,8.789376101421143e-27,1.2322503342551802e-26,1.2524270933783416e-26,6.538903305046296e-27,6.402142524522837e-27,6.678110031167683e-27,2.111395620053492e-29,2.0293473420203252e-29,1.8150574299189245e-29,7.308609435644037e-27,7.060944558150038e-27,7.01026880565196e-27,3.8936832308266825e-27,4.740118679875492e-27,5.39976093010967e-27,5.510418351939827e-27
6000.09c,0.011821512178602885,0.011821512178593159,0.011821512178583432,0.01182151217858276,0.011821512178582426,0.01182151217858142,0.011821512178580889,0.01182151217858061,0.011821512178580162,0.011821512178579406,0.011821512178578289,0.011821512178578289,0.011821512178578289,0.011821512178577898,0.011821512178576807,0.011821512178575803,0.01182151217857527,0.01182151217857527,0.011821512178574852,0.011821512178574125,0.011821512178573258,0.011821512178572196,0.011821512178572056,0.011821512178571749,0.011821512178570939,0.011821512178570016,0.011821512178568982,0.011821512178568592,0.01182151217856873,0.011821512178568395,0.01182151217856778,0.011821512178566718,0.01182151217856588,0.011821512178565488,0.011821512178563559,0.011821512178563084,0.011821512178562749,0.011821512178561016,0.011821512178560764,0.011821512178560346,0.011821512178557774,0.011821512178556544,0.011821512178556126,0.011821512178553161,0.011821512178551681,0.011821512178551206,0.011821512178548188,0.011821512178546986,0.011821512178546566,0.011821512178543379,0.011821512178540446,0.011821512178540081
6012.09c,6.987861028243819e-31,2.7010760658526775e-11,2.7088103002422567e-11,2.7607467652305784e-11,2.7607467802582184e-11,2.3632515756985544e-10,8.657138298523088e-10,8.806415787164537e-10,8.806465005654838e-10,7.818846829766039e-10,5.785518525556872e-10,5.418183613515901e-10,5.417928748181207e-10,5.4178839615397e-10,1.3026772126824444e-09,1.3857177301143812e-09,2.028989180804416e-09,2.0821330637595658e-09,2.0825159099928545e-09,2.134739250206791e-09,1.9571621247032454e-09,2.1001519160721406e-09,1.8742903759609964e-09,1.8741636522958654e-09,1.5880955039629476e-09,1.5665560901329897e-09,1.414272699662303e-09,1.3955449381332531e-09,1.390369865611713e-09,1.390246519314316e-09,1.2540891052090294e-09,1.2687199823214899e-09,1.1299325582569392e-09,1.1251470697924475e-09,9.81296879659387e-10,1.0797184016818133e-09,1.0932037919157824e-09,1.3334612119988148e-09,1.351064458022282e-09,1.3533457222391823e-09,1.336978919418146e-09,1.4055024125478027e-09,1.4119120437840663e-09,1.5132911315563744e-09,1.387925899061452e-09,1.385829512184828e-09,1.3301391291426546e-09,1.2798955936680382e-09,1.273079277035704e-09,1.2330860586330342e-09,1.487923883664904e-09,1.523809233658311e-09
60130,1.6498639947587733e-09,1.3213349823069844e-07,2.6690508188247804e-07,2.811530671834734e-07,2.8169064112108307e-07,3.2267339143609474e-07,3.538896771012883e-07,3.7242106148832464e-07,3.728279620086562e-07,3.735579260000202e-07,3.835606938179483e-07,3.8278401774001637e-07,3.8277188559022266e-07,3.81924547662614e-07,4.044127441770745e-07,4.174402689788776e-07,4.221123764201236e-07,4.225202521636535e-07,4.246938331823463e-07,4.084391206854087e-07,4.107164191842438e-07,4.117852159256128e-07,4.1304681930178435e-07,4.1256399990649205e-07,4.2384536614999524e-07,4.194931863576802e-07,4.1905528674626715e-07,4.2212660021029714e-07,4.221839617514811e-07,4.217895346505311e-07,4.136330308198215e-07,4.092454294507821e-07,4.06148647802521e-07,4.055297622390873e-07,4.005288004101148e-07,4.023812232135336e-07,4.0274333950592495e-07,4.0110351498801724e-07,4.0052545969269745e-07,4.006625080415355e-07,4.037615020317363e-07,4.1000025534737305e-07,4.099165794220947e-07,4.1490899294580403e-07,4.137537459086401e-07,4.138870483374289e-07,4.123347012551609e-07,4.1339148278076347e-07,4.1361426510746775e-07,4.1774087967369183e-07,4.180969739520702e-07,4.180521888994272e-07
60140,5.358737941878776e-16,8.079672333946886e-13,3.089810791352338e-12,3.366291239421464e-12,3.3585699694410574e-12,4.1117064300376346e-12,5.01313562099103e-12,5.377881170655798e-12,5.392401378321831e-12,5.5925436816962646e-12,5.815999825532083e-12,5.937408059242089e-12,5.937533193909579e-12,5.9342275954268206e-12,6.005272012510357e-12,6.053120782735674e-12,6.098559299119452e-12,6.100848683589978e-12,6.107117937615906e-12,6.128606725465194e-12,6.1449521057478406e-12,6.17498110872122e-12,6.17480609152069e-12,6.170914779859519e-12,6.1724702703032224e-12,6.17997761826219e-12,6.180547271570295e-12,6.196421929691189e-12,6.1976416493953075e-12,6.197806220514106e-12,6.199647518612366e-12,6.192865479377247e-12,6.19837456683265e-12,6.199234618818506e-12,6.203397088627231e-12,6.203919731318808e-12,6.2018656317310615e-12,6.1985313168373225e-12,6.198924077274664e-12,6.200386361211383e-12,6.2072465553506685e-12,6.212130603109022e-12,6.212049024795274e-12,6.2271381539601714e-12,6.227736900781937e-12,6.227293708234464e-12,6.224026388547139e-12,6.227884204667662e-12,6.229589633206669e-12,6.2363298060575376e-12,6.23623843643103e-12,6.23689326066048e-12
