,0_0,0_30,0_60,0_68,1_0,1_30,1_60,1_85,2_0,2_30,2_60,2_90,2_94,3_0,3_30,3_60,3_90,3_104,4_0,4_30,4_60,4_90,4_100,5_0,5_30,5_60,5_77,6_0,6_30,6_43,7_0,7_30,7_60,7_79,8_0,8_30,8_60,8_90,8_112,9_0,9_30,9_60,9_90,9_120,9_144,10_0,10_30,10_38,11_0,11_30,11_60,11_75,12_0,12_30,12_60,12_90,12_120,12_150,12_174,13_0,13_30,13_49,14_0,14_30,14_60,14_90,14_102,15_0,15_30,15_60,15_68,16_0,16_30,16_60,17_0,17_30,17_60
391040,1.0178244096231174e-16,6.778149296176411e-17,4.951159212374715e-17,4.8121222561411227e-17,5.3665993008660974e-17,5.004194703508558e-17,4.7096727251145533e-17,4.5917668707285065e-17,5.028874109477616e-17,4.9496443961808176e-17,4.89083707478145e-17,4.84884648988398e-17,4.848821779004309e-17,4.8717430170793803e-17,4.8265259586250574e-17,4.803142834499698e-17,4.7808109930251386e-17,4.779316561914867e-17,4.843214234082688e-17,4.8381910569284145e-17,4.831713385513721e-17,4.823958869661797e-17,4.824076449863701e-17,4.8158453317929195e-17,4.819992800236061e-17,4.816016621599955e-17,4.8126744784259404e-17,4.587617536190926e-17,4.595362084589463e-17,4.6000933748984194e-17,4.846327875092085e-17,4.8443477572819005e-17,4.840884601264574e-17,4.840072759576762e-17,4.769606188278315e-17,4.768990853814207e-17,4.769756140988184e-17,4.770316037325235e-17,4.7686570289814393e-17,4.757089698716735e-17,4.74981513297438e-17,4.7487866217910036e-17,4.7489027442404925e-17,4.749522201767032e-17,4.7497686886566086e-17,4.730971156876498e-17,4.736677920446794e-17,4.737304729505791e-17,4.630192643816037e-17,4.633313751425322e-17,4.631897946895676e-17,4.632523784343402e-17,4.9071400666530004e-17,4.9053184962090084e-17,4.9068083547148044e-17,4.904013638300481e-17,4.903337587416644e-17,4.903581876525673e-17,4.904000560959408e-17,4.655004135862112e-17,4.657986655572304e-17,4.6596246641552835e-17,4.7163426178506483e-17,4.7246770739723455e-17,4.724154999869596e-17,4.7215875446765306e-17,4.7206938326524555e-17,4.588590233689304e-17,4.5886776870293353e-17,4.589421815779006e-17,4.589466217011716e-17,4.931239131466925e-17,4.932927360210454e-17,4.9353340723000886e-17,4.7636917763703304e-17,4.755897251757338e-17,4.7524208630991606e-17
391050,4.226017146526515e-19,5.863544601171937e-19,6.485159578639456e-19,6.503841869982795e-19,7.121364930380843e-19,7.225498711759634e-19,7.30114174120973e-19,7.30181833338008e-19,9.004197671202037e-19,9.013165397598794e-19,9.026212678998835e-19,9.023543567427539e-19,9.023539867837274e-19,8.677974657048133e-19,8.652841383477683e-19,8.653990655597607e-19,8.652674046525157e-19,8.652551271279044e-19,8.545241044838928e-19,8.542815283074444e-19,8.541979123532903e-19,8.541306460235457e-19,8.541116617146772e-19,8.49838260476465e-19,8.508283707514619e-19,8.50576478247983e-19,8.504978507039112e-19,7.90985064796651e-19,7.914032263027623e-19,7.917703604813012e-19,8.522145997138622e-19,8.5212945834009605e-19,8.516913996601738e-19,8.5156846562399e-19,8.41889482621732e-19,8.409571619525528e-19,8.406415079401709e-19,8.405311042476047e-19,8.404334697380604e-19,8.423132635650338e-19,8.419256421231962e-19,8.419335735652309e-19,8.420836141368563e-19,8.421914458112633e-19,8.421931171368971e-19,8.522788040646881e-19,8.528747988695361e-19,8.529724926248206e-19,8.192086677905442e-19,8.194046140846175e-19,8.189387932420499e-19,8.189040230948942e-19,8.69976495188908e-19,8.695705556003144e-19,8.694980150427219e-19,8.690947587589333e-19,8.690847977739414e-19,8.691377324625681e-19,8.691531161670597e-19,8.131749915633273e-19,8.131159489127496e-19,8.132228726783783e-19,8.214616893685673e-19,8.224087601711931e-19,8.221991155303934e-19,8.218607585414594e-19,8.217715479754584e-19,8.052716292464407e-19,8.056152316437121e-19,8.056991804506902e-19,8.056906851407202e-19,8.893194084537145e-19,8.896988910072931e-19,8.899111220049926e-19,8.554247960904865e-19,8.543078395461831e-19,8.539654805950988e-19
391060,1.3192004912397217e-21,7.656764917790617e-21,1.3271584491410304e-20,1.3529390104224727e-20,1.5189632460141558e-20,1.5593205058615563e-20,1.65330314484691e-20,1.6675816131821978e-20,1.8124136678533074e-20,1.8093014429757563e-20,1.828345673058882e-20,1.8304408422699008e-20,1.8304409475351637e-20,1.8277386170077907e-20,1.810752742419064e-20,1.81461738885593e-20,1.8154964919107548e-20,1.8155151026127115e-20,1.8345948856696685e-20,1.8350423943491865e-20,1.8356192131164945e-20,1.8364653175903503e-20,1.8364404730895244e-20,1.8285991692374778e-20,1.8370518206729783e-20,1.8349405842845057e-20,1.8343810066800978e-20,1.7729215218874632e-20,1.7766564062111474e-20,1.7792820696044874e-20,1.8642603572380274e-20,1.8608789521343018e-20,1.8577330642360293e-20,1.8565785239928758e-20,1.8221271910233554e-20,1.8200502612967065e-20,1.817324449850207e-20,1.8158520522457565e-20,1.8148364179469308e-20,1.8383455436997658e-20,1.834791839790703e-20,1.835414793342876e-20,1.8371103595807304e-20,1.8384941260309634e-20,1.8387503850440036e-20,1.8117178780012543e-20,1.814803280700382e-20,1.8151182381460018e-20,1.7814056193023157e-20,1.784599497724452e-20,1.7818482957551292e-20,1.7814263923019022e-20,1.892670908532982e-20,1.8903238841167308e-20,1.8898220272674476e-20,1.8870339862351637e-20,1.8867309615964212e-20,1.8869672398442958e-20,1.8870142448448436e-20,1.784210848593661e-20,1.7839285735351577e-20,1.7842415597460682e-20,1.7979215621467506e-20,1.8025381501490937e-20,1.8016672917732356e-20,1.7993051348380207e-20,1.798609070218977e-20,1.7590059802234902e-20,1.7599963659895343e-20,1.7612857852701356e-20,1.7613837227983122e-20,1.875059409326695e-20,1.877577568267915e-20,1.87821442820735e-20,1.8172896423129816e-20,1.810860414535162e-20,1.808907893828599e-20
391070,1.1435760866555907e-22,1.1831864754267359e-22,1.1768816934350388e-22,1.1747605592536132e-22,1.6756351821512276e-22,1.6672042759590722e-22,1.6562680811181577e-22,1.6516130695176528e-22,2.0959167770278387e-22,2.0928074280161962e-22,2.0898568858203574e-22,2.0884048992130553e-22,2.0884036659729432e-22,1.9815746507788737e-22,1.979911518033431e-22,1.9791287158462647e-22,1.9785137200868793e-22,1.9784680189713344e-22,1.7649758984748448e-22,1.7645943543006264e-22,1.7642737359423614e-22,1.7638261532660212e-22,1.7637859717494349e-22,1.7693522323899338e-22,1.769303031492757e-22,1.7690999716047639e-22,1.7690744310067888e-22,1.6851202936678932e-22,1.6853528920075693e-22,1.6853852922945877e-22,1.8126476901329675e-22,1.8123770929422972e-22,1.8123294137084757e-22,1.8123192900915533e-22,1.7017877319565377e-22,1.7017023331100346e-22,1.7018615902119257e-22,1.7020855419806417e-22,1.702134242815644e-22,1.8964387008781988e-22,1.89603209211412e-22,1.8957611163667673e-22,1.8955505649082852e-22,1.895355365331779e-22,1.8952745357271578e-22,1.8786603998511289e-22,1.8789482954624504e-22,1.878958085240924e-22,1.7780870755638196e-22,1.778249424448879e-22,1.7782875384211837e-22,1.7782944229011022e-22,1.9378714124513433e-22,1.9374821816978763e-22,1.9374249117939823e-22,1.9374466088482275e-22,1.9375744138128483e-22,1.9376626790521345e-22,1.937710032306338e-22,1.7020377431971249e-22,1.7021582840760989e-22,1.7021903028935026e-22,1.728215515365773e-22,1.7284068624614224e-22,1.7284018563421154e-22,1.7284290633044224e-22,1.728435680452701e-22,1.6446644507761178e-22,1.6447242340302614e-22,1.6446333868649058e-22,1.644610815259795e-22,1.868576081911342e-22,1.8685464513240575e-22,1.8686155981071043e-22,1.8468947564341707e-22,1.8467521258838457e-22,1.8467928735735173e-22
391080,9.123238759619419e-25,1.2677879523727092e-24,1.475682755279473e-24,1.4828765495331606e-24,1.8825916743466745e-24,1.899655700345023e-24,1.9270948246472056e-24,1.9278648797174266e-24,2.276267739889175e-24,2.2745073484370637e-24,2.2793914247962904e-24,2.2783902770404646e-24,2.278389037131093e-24,2.21003324440665e-24,2.200971736472856e-24,2.2015675986477888e-24,2.201066424134984e-24,2.201016256241996e-24,2.0867141534497843e-24,2.0863556844367394e-24,2.0862313201043533e-24,2.0861646641790923e-24,2.086131296318533e-24,2.0828762469123294e-24,2.0864932817504796e-24,2.085471140719198e-24,2.0851602423055882e-24,2.0009657314543345e-24,2.0027061124105786e-24,2.0040023314091368e-24,2.1282637321320324e-24,2.1271659513641788e-24,2.1256434628490268e-24,2.1251554705761688e-24,2.0381631371869647e-24,2.0362622304223062e-24,2.035148103456554e-24,2.034643167756103e-24,2.0342133932067127e-24,2.164057791036161e-24,2.1623981079755424e-24,2.162504700335318e-24,2.1631212554365973e-24,2.1636092651402204e-24,2.1636735811216236e-24,2.1388108358044612e-24,2.140652527030173e-24,2.140888325538258e-24,2.0606478981104283e-24,2.0617987166777877e-24,2.06040365315951e-24,2.060263594375813e-24,2.2198587697496946e-24,2.218511120500638e-24,2.2182812227581075e-24,2.216934253379719e-24,2.2168492490702332e-24,2.2170020182668856e-24,2.2170534583082413e-24,2.017397873595414e-24,2.0173745168546824e-24,2.017655853918936e-24,2.0415730279193376e-24,2.0442920481987166e-24,2.043770669722328e-24,2.0426362868915772e-24,2.0423136846485674e-24,1.968402360273692e-24,1.9692330768294276e-24,1.969695807246076e-24,1.9697054071675236e-24,2.1691907428240197e-24,2.170294184754935e-24,2.1707913708058387e-24,2.123281337281757e-24,2.1198695427536637e-24,2.1188113494673825e-24
400870,1.3615709716970572e-24,3.6622017512114984e-24,3.639481037431586e-24,3.6334048072737584e-24,4.578837517846605e-24,4.875284452616365e-24,4.8579236663962745e-24,4.850880530791676e-24,6.212792913005867e-24,6.300998564273372e-24,6.2927958960453125e-24,6.2877439925417586e-24,6.287742276663015e-24,5.940627210005225e-24,5.9575779613955776e-24,5.951524062223908e-24,5.9483863623469566e-24,5.948271210086434e-24,5.56346968307902e-24,5.560925765362801e-24,5.558180346840595e-24,5.557630785310505e-24,5.557683831245672e-24,5.564353400261522e-24,5.564356214539574e-24,5.565504102385947e-24,5.565203929270502e-24,5.297426643631851e-24,5.290457426443698e-24,5.2929482092596496e-24,5.603127790776069e-24,5.619647042317604e-24,5.61601131390241e-24,5.616314577732317e-24,5.464273885367592e-24,5.438204144324443e-24,5.436349935870614e-24,5.4352720193589555e-24,5.434906985254634e-24,5.7155963402270946e-24,5.720750929627547e-24,5.721232281687189e-24,5.722108768880517e-24,5.722655209323963e-24,5.722869168479014e-24,5.718408182899975e-24,5.722753586691025e-24,5.725277032333351e-24,5.420889625220552e-24,5.413509586260609e-24,5.407254108645844e-24,5.40791325566912e-24,5.8802539373543845e-24,5.8823521380180465e-24,5.8829679173793436e-24,5.879162176868867e-24,5.878480464846374e-24,5.878294015873755e-24,5.878226361209168e-24,5.246938498509115e-24,5.242830862979914e-24,5.244711038980989e-24,5.321028293566503e-24,5.336215959173119e-24,5.332920686932304e-24,5.330191150676072e-24,5.329620286010921e-24,5.1537339264562976e-24,5.1597597848933105e-24,5.157764622383205e-24,5.1572806492092236e-24,5.823964154491456e-24,5.825273480028818e-24,5.829230503896012e-24,5.7083854005311814e-24,5.69684725878354e-24,5.691318180424791e-24
400880,2.159470544152982e-20,7.382212511619425e-18,9.860223774730113e-18,9.927756341064646e-18,9.976722614840418e-18,1.2452055852109416e-17,1.3060664650476547e-17,1.3111494428660132e-17,1.3144790687234318e-17,1.3678696746166812e-17,1.37966293361335e-17,1.380255162375043e-17,1.380254947810198e-17,1.3799073741531909e-17,1.3972535530566224e-17,1.4009066321103408e-17,1.401278872957463e-17,1.4012787178068394e-17,1.4025690335644966e-17,1.410820365953669e-17,1.4119164303439535e-17,1.412351058427833e-17,1.412326511234915e-17,1.41176256413901e-17,1.4169048830465202e-17,1.417914371218682e-17,1.417662774905794e-17,1.4166611609606016e-17,1.4110964574728074e-17,1.412178902480388e-17,1.4137653895440005e-17,1.4206953720930304e-17,1.4187820338991697e-17,1.4186913615593183e-17,1.4180574102329573e-17,1.413992224314869e-17,1.411963323397304e-17,1.410753627791358e-17,1.410322620838101e-17,1.4105813540341126e-17,1.4141744134627843e-17,1.415687004714268e-17,1.4169464834006608e-17,1.417786078251661e-17,1.417973015279004e-17,1.417661363767783e-17,1.4149983034902645e-17,1.4154281730830713e-17,1.4151152743148524e-17,1.4128118338318957e-17,1.4103307217206745e-17,1.4106306072409817e-17,1.4118609230678834e-17,1.4189957517625317e-17,1.419185855254854e-17,1.4170840638558822e-17,1.4161999940870683e-17,1.4159319849285256e-17,1.415761831972038e-17,1.4149087976299843e-17,1.409154865967247e-17,1.4090815806151183e-17,1.409233203594119e-17,1.4101448539580467e-17,1.4096520955606723e-17,1.4082389165200363e-17,1.407826565789194e-17,1.4074347881787887e-17,1.4062247706353394e-17,1.4062214089533865e-17,1.4060183838678777e-17,1.406790859516194e-17,1.4108455104928303e-17,1.411142907812783e-17,1.4107622208202816e-17,1.410120484671258e-17,1.4093152678537087e-17
400890,1.535435887189309e-18,3.788265643749258e-17,3.92225645087608e-17,3.915213273054386e-17,4.317773121010197e-14,4.6865429629395705e-14,5.1757020838520064e-14,5.472143040572832e-14,3.9368879208587275e-15,1.3321921684344092e-15,1.3525514608788356e-15,1.3737405998104768e-15,1.3737591762178999e-15,1.4581386368762724e-15,5.850148808676943e-17,5.851613196975917e-17,5.85720681445984e-17,5.857587679108492e-17,6.037043185678485e-17,5.1420892569433126e-17,5.1394677987345366e-17,5.1380512364669176e-17,5.1378948484374054e-17,5.099558122703648e-17,8.225092107130991e-16,8.22637868163352e-16,8.230319833168682e-16,8.506577969276518e-16,9.089482980907143e-16,9.089632917727415e-16,9.364438428365103e-16,5.126061852715687e-15,5.127189093815547e-15,5.12861828994714e-15,5.255859435636082e-15,3.213407095125566e-16,3.2117852555615916e-16,3.2107057776566755e-16,3.2113630372949327e-16,1.429010054987745e-14,2.1696660782049464e-14,2.1712004118310435e-14,2.1722839815576438e-14,2.1731677928579014e-14,2.173542663835455e-14,1.5990100380080736e-14,1.1896523001350904e-14,1.1896334515909271e-14,5.030825859688282e-15,1.7796337769501488e-15,1.7793136205122483e-15,1.7793026363577963e-15,1.8005416194133853e-15,7.231748894020116e-15,7.230191386000918e-15,7.229725885036648e-15,7.230771406164501e-15,7.232222819529045e-15,7.232333688355308e-15,7.299661729669138e-15,5.290002197450556e-17,5.2925582640996e-17,5.3084949377901634e-17,1.2859906380263892e-16,1.2854917886429018e-16,1.2851854435179307e-16,1.2851735522334116e-16,1.2863272621639394e-16,1.208463843108551e-16,1.2086333134682446e-16,1.2085690488637476e-16,1.2208432010467488e-16,6.41142760766091e-17,6.415254993741687e-17,6.375628879385828e-17,2.864755144498418e-15,2.864392531706998e-15
400891,1.4359956192103347e-29,3.799633558741623e-28,4.062973498263013e-28,4.071725828978909e-28,5.11321316555303e-28,5.5457835347943855e-28,5.567636236830369e-28,5.570695201021699e-28,7.162360285095897e-28,7.287766724583022e-28,7.288643112983294e-28,7.288517883716716e-28,7.288517763049432e-28,6.890166560904564e-28,6.912906873330222e-28,6.909630120769814e-28,6.90890170987524e-28,6.908927603718915e-28,6.447267290071965e-28,6.441496219509647e-28,6.438809062113112e-28,6.4384339278880405e-28,6.4383543425385385e-28,6.44277680597115e-28,6.444393832260441e-28,6.4464323331833565e-28,6.446341287698814e-28,6.133525346299444e-28,6.124462583897052e-28,6.126926715914243e-28,6.479827287956378e-28,6.499264667540855e-28,6.495057712370143e-28,6.495138159368054e-28,6.325640331579693e-28,6.291321477177828e-28,6.288813879388054e-28,6.287802988519696e-28,6.287669160688983e-28,6.615126873342787e-28,6.621345041230737e-28,6.62190489034986e-28,6.622675232030477e-28,6.622982350512411e-28,6.622991624080342e-28,6.620407429907372e-28,6.625797595928695e-28,6.6287025565460325e-28,6.2767884471982895e-28,6.26758592507333e-28,6.259813066953421e-28,6.260703197595322e-28,6.802513734545282e-28,6.803388421617535e-28,6.803391583032638e-28,6.798647453335422e-28,6.797794486753242e-28,6.7976063368319945e-28,6.797515619769304e-28,6.064492850936798e-28,6.059638063178641e-28,6.062425559145595e-28,6.145827663994185e-28,6.165352194689121e-28,6.160890220511369e-28,6.157595019515878e-28,6.157044938282548e-28,5.9569047261546855e-28,5.966166383766716e-28,5.963298755728272e-28,5.9625726597265685e-28,6.746578487129147e-28,6.747807359870485e-28,6.752801613195778e-28,6.6088725253887e-28,6.593209754351423e-28,6.586479199610339e-28
40090.09c,3.3132487238917707e-10,8.86740798568697e-07,3.043024055887667e-06,3.294187130740471e-06,3.2945357895032274e-06,3.416707380941993e-06,3.7717327585149984e-06,3.98589500849781e-06,3.98593980410549e-06,4.01088086597744e-06,4.0736770812126695e-06,4.13894980511425e-06,4.139012721922413e-06,4.139339987479047e-06,4.149461511479848e-06,4.169505543868246e-06,4.20218780250559e-06,4.205296283983996e-06,4.205100155475762e-06,4.206504986598042e-06,4.213811648428401e-06,4.227044296176677e-06,4.227489651678747e-06,4.227473104202776e-06,4.229373386442112e-06,4.229987556860324e-06,4.232069355331826e-06,4.232112328670684e-06,4.233532667840498e-06,4.233513049018757e-06,4.233538530372691e-06,4.233198954940801e-06,4.234060988363905e-06,4.235182266132637e-06,4.235299843260068e-06,4.238423880903723e-06,4.236765660847017e-06,4.234667072128477e-06,4.235511997701603e-06,4.235554572389755e-06,4.238667440134068e-06,4.241640662820997e-06,4.243769852288474e-06,4.245480321950398e-06,4.246208341674326e-06,4.246219872553815e-06,4.2452121242079305e-06,4.245128471147514e-06,4.245106345991511e-06,4.245172897564894e-06,4.244504001652483e-06,4.244439526964627e-06,4.244446272290507e-06,4.2440452863061225e-06,4.243037708549625e-06,4.2427362992770735e-06,4.243272804686921e-06,4.244126556298983e-06,4.2441962966419e-06,4.244188388341025e-06,4.2436795345949096e-06,4.2427360292206235e-06,4.242691501598024e-06,4.240920967202253e-06,4.240205560342849e-06,4.2399719020371864e-06,4.240005759969129e-06,4.240003509604871e-06,4.241196411643807e-06,4.242465813358124e-06,4.242671372448075e-06,4.242703858050506e-06,4.242578739269528e-06,4.2427255060807595e-06,4.24275590121423e-06,4.243809538157981e-06,4.244497454414613e-06
400901,3.700294794814212e-22,4.646247312574375e-21,4.7817263106632186e-21,4.771847623060332e-21,5.256142789413938e-21,5.6728209372799275e-21,5.65436840244291e-21,5.637978542805082e-21,5.950446599938705e-21,6.05746313028651e-21,6.053154359195201e-21,6.04869001936492e-21,6.048686798806906e-21,6.022007081110905e-21,6.019514509236488e-21,6.015642645809718e-21,6.013143554315019e-21,6.013023941417461e-21,6.245127702707475e-21,6.237115642826147e-21,6.2340178860080105e-21,6.232234327029591e-21,6.232041114946927e-21,6.124124686913072e-21,6.125581644551254e-21,6.12734150419799e-21,6.127166876728604e-21,5.950150765524663e-21,5.9456238237645036e-21,5.948220538509956e-21,6.2286336810394906e-21,6.248442717913819e-21,6.244463947559414e-21,6.244535977385629e-21,6.0999565264072326e-21,6.065462502434734e-21,6.063470493513504e-21,6.063222365137246e-21,6.063369972053787e-21,6.1038826873270026e-21,6.1098503397885616e-21,6.109877771383363e-21,6.110115308521102e-21,6.1099148968242644e-21,6.1096811009008446e-21,6.0142857383104895e-21,6.022004996356551e-21,6.0248576588099324e-21,5.9314443456541014e-21,5.921229593340053e-21,5.913341948065264e-21,5.9143081695145246e-21,6.305102264549802e-21,6.30322911386986e-21,6.303225926496927e-21,6.298770363721117e-21,6.29822901215936e-21,6.2982764921550466e-21,6.298274797549287e-21,6.004995751755289e-21,6.002266385551947e-21,6.005189445446385e-21,6.047030492844336e-21,6.064360284097835e-21,6.059231074444642e-21,6.055942515052818e-21,6.055453109609635e-21,5.881883892409468e-21,5.892144385760998e-21,5.8897605197622576e-21,5.8889615581871616e-21,6.2748561620995966e-21,6.2772901086152074e-21,6.283243855675534e-21,6.042012017597038e-21,6.027241141324906e-21,6.0212038708729645e-21
40091.09c,1.1090849589192826e-07,7.105533530346135e-05,0.0001413293787658379,0.00014674770422945632,0.0001467478713624123,0.0001548203298135829,0.00016701575182278096,0.000171464331169468,0.00017146547401686394,0.00017290193494863226,0.00017515811228776277,0.00017649078915109745,0.00017649164340824598,0.0001764871602451731,0.00017704273595180344,0.00017781248166373156,0.00017849492511390295,0.0001785398685053553,0.0001785392580573141,0.00017859185339331616,0.0001788117218985293,0.00017912941450261115,0.00017913633754567632,0.00017913400840214832,0.00017919524884651167,0.00017925599934946306,0.00017931643906162498,0.0001793158272907455,0.00017929763122458177,0.00017926577104628545,0.00017926348736924355,0.0001792122521990979,0.00017919074324918217,0.00017919235629328513,0.00017919230552310112,0.00017916927352072546,0.00017906028588277737,0.00017896872139431093,0.00017896634106300734,0.00017896638219189661,0.0001790453995067303,0.0001791354620612473,0.00017921533339603797,0.00017927604632975776,0.00017929068450970895,0.00017928984615842616,0.00017925790513847572,0.00017925172715795812,0.00017925152184452284,0.0001792286953197124,0.0001791809071826886,0.000179161203848198,0.00017915932390098223,0.00017910838523540687,0.00017905703440137705,0.0001790319822686787,0.00017901774477558198,0.00017900602342612516,0.0001789858033385264,0.00017898478519102709,0.00017895765597937833,0.00017893632809305046,0.0001789353973387175,0.00017888992377288937,0.00017885807941601681,0.00017883066342131197,0.000178826576403497,0.0001788264947643518,0.00017886589998962786,0.00017890642218096288,0.0001789131854723838,0.00017891344388185664,0.0001789016636855554,0.00017888546385781505,0.00017888565574123523,0.00017889053416962348,0.00017888791107696658
40092.09c,2.7107494854209614e-06,0.00010457294800795104,0.00017156578937975125,0.0001767206826263302,0.00017684637647702152,0.00018896625701541494,0.00020099188889952335,0.00020521446055070709,0.00020527164119327163,0.00020757293980648112,0.00020984426216350086,0.0002110697986241574,0.000211070606097858,0.0002110818614708408,0.00021191692603444998,0.0002126881500598852,0.00021331417541747426,0.00021335494402813636,0.00021337124262731485,0.000213550624778314,0.0002138070926656306,0.00021411013078573307,0.00021411979595342494,0.0002141154806046391,0.0002142785489591552,0.00021433777223292977,0.00021438791936253602,0.00021436503561764322,0.00021423820179155718,0.00021420489615957874,0.00021422900458197128,0.00021427412937243434,0.00021425988547333337,0.00021425970956876947,0.00021425252427466525,0.00021418759864621608,0.00021407491967221054,0.0002139734979136582,0.00021396143647468127,0.00021395973194819013,0.00021410086026953578,0.0002142062668625367,0.0002143038799978148,0.0002143790001674088,0.00021440025239382893,0.00021439803704340597,0.0002143341130056128,0.00021433099797348455,0.0002143243109230556,0.0002142652237218676,0.00021419222630092042,0.00021417337144727166,0.00021418987857019564,0.00021424613165120125,0.0002142022579134759,0.00021416429446360325,0.0002141372100329138,0.00021412037447693328,0.00021410209987017623,0.00021408971878257528,0.00021399133732615325,0.0002139730434697252,0.00021397504805356773,0.00021392342573279275,0.00021390465566149963,0.0002138810265079384,0.00021387727924779395,0.00021387130314715497,0.0002139139362829953,0.0002139607000467939,0.0002139668196732746,0.00021397860140789495,0.0002140185506289712,0.00021397593564558636,0.00021397066725837191,0.00021396880757587012,0.000213969478093092
40093.09c,2.7612694299085564e-06,0.00011127737156148038,0.00018359868735671748,0.00018918869874777857,0.00018932967821253286,0.00020246867907841603,0.00021559913781300617,0.00022022359107736977,0.00022027013253194115,0.00022270407772867677,0.0002252077761339232,0.00022653633133222308,0.0002265371914158686,0.00022656167929018317,0.0002274741271062763,0.00022822289660339888,0.0002288780865047985,0.00022892065655940715,0.0002289387997560262,0.00022919563958855965,0.00022954156477760125,0.00022987078602571508,0.0002298832808958288,0.00022987776368686125,0.00023008780724743672,0.00023015982587143988,0.0002302172788815686,0.00023019385453355227,0.0002300411831824474,0.0002300091433258766,0.00023003407159931182,0.00023012785657870022,0.00023010351303168994,0.0002300990176043293,0.0002300899781616481,0.0002299900049234994,0.00022986528974908383,0.00022974970021683597,0.00022972621996732932,0.00022972606835606406,0.00022990771621365295,0.0002300229104353846,0.00023012551798888068,0.00023021691378558918,0.0002302437547783316,0.0002302433865054077,0.00023014674363967087,0.00023014084225137784,0.00023013427754028026,0.0002300916563965633,0.0002300233156400557,0.00023000724663980895,0.0002300212948967284,0.0002300662468594385,0.0002300308269720603,0.0002299778465769841,0.0002299457869933308,0.00022993465239137345,0.00022991709771886837,0.00022990539386682642,0.00022978786184901974,0.0002297675825774588,0.0002297696001357811,0.0002297466904556257,0.00022974406004173925,0.00022971005049386549,0.00022969970532292277,0.00022969411517359181,0.00022972322198120415,0.00022974785312716714,0.00022974747432394534,0.00022975529683118216,0.0002297923251961713,0.0002297582498820192,0.000229756315195106,0.00022977893613867773,0.00022978047354568797
40094.09c,3.044911880787244e-06,0.00011600021222012464,0.0001939022651893678,0.00020007152216137977,0.00020021702728251635,0.00021491124612885902,0.00022983261772942056,0.00023508052241319515,0.00023517309206296785,0.00023806589915771538,0.00024082538348966435,0.00024230386840317503,0.0002423048717507839,0.00024229973413219275,0.00024333598819881337,0.0002443646567276513,0.0002451279083822756,0.0002451779251244553,0.0002452026604287013,0.00024536812178479025,0.0002455866040648714,0.0002459828632100185,0.00024599699175968263,0.00024599181129732303,0.00024616843047505204,0.0002462498320396994,0.00024630482665164355,0.0002462740179494443,0.00024615551357120685,0.0002461343932473993,0.00024616789685336365,0.0002462070741949216,0.0002461661047840404,0.0002461641026665569,0.0002461553430803691,0.00024608929220125897,0.00024593002299031814,0.0002457835662477626,0.0002457692903434091,0.00024576681040609403,0.0002459360897883083,0.0002460939697107572,0.0002462311885394253,0.0002463297665461165,0.0002463604537678083,0.00024635433382737975,0.0002462970290591456,0.00024629574372795953,0.00024628820085899567,0.00024618212299830155,0.0002460861807134255,0.00024606477142193696,0.00024609026703715294,0.0002461992211259639,0.0002461415203671766,0.000246099083547202,0.00024605854294882106,0.00024602304591449253,0.0002459937505874679,0.0002459748707633739,0.0002458600108104765,0.00024584556944491013,0.0002458490811442954,0.0002457668731358871,0.00024571755509827437,0.0002456747339016859,0.0002456704362512647,0.00024566120982905213,0.00024572792122022266,0.00024581838188843285,0.0002458359671526681,0.0002458574909025273,0.00024593563828465405,0.0002458825359033134,0.0002458709195265286,0.00024582465555521077,0.0002458085765206483
40095.09c,2.9299424718140246e-06,3.6952350344268334e-05,2.857609049858489e-05,2.7735035315033732e-05,2.7892702298853715e-05,3.243169119828167e-05,3.107208365599757e-05,3.0261098869269397e-05,3.033979299910197e-05,3.131641074564264e-05,3.108062915261413e-05,3.0800036106228484e-05,3.07998604048484e-05,3.081292596148071e-05,3.115705373007586e-05,3.108577696604153e-05,3.093861279810272e-05,3.092796781422767e-05,3.0955466359909604e-05,3.109460619509142e-05,3.107761017939636e-05,3.1029973579059545e-05,3.1030762776538986e-05,3.102758388138419e-05,3.115066172942414e-05,3.115974899080491e-05,3.114247826733427e-05,3.1111449362120675e-05,3.09823974068671e-05,3.099431335208935e-05,3.103117832272223e-05,3.1160115236450515e-05,3.1148640726280904e-05,3.1147711505505085e-05,3.1137105438368035e-05,3.107263398628672e-05,3.106594831506706e-05,3.10632864733682e-05,3.105355612488625e-05,3.105310212891926e-05,3.113845914673588e-05,3.115810252492622e-05,3.116710627886959e-05,3.11729127832018e-05,3.117461886411262e-05,3.1170414161884185e-05,3.112045482890292e-05,3.112387528197418e-05,3.111621653188586e-05,3.106328285713869e-05,3.104381272263154e-05,3.104840784968754e-05,3.107464610487858e-05,3.121317029315369e-05,3.1228250029488155e-05,3.121788320997771e-05,3.121052907468836e-05,3.120877463698847e-05,3.1209950639871115e-05,3.119167482146456e-05,3.109583638233883e-05,3.110410888899799e-05,3.1109085548217046e-05,3.110837355941825e-05,3.111249238112751e-05,3.1102101742928245e-05,3.109898518868193e-05,3.108944359773111e-05,3.108207317724469e-05,3.1081216344895404e-05,3.108134172303211e-05,3.110026788330743e-05,3.1187933421346304e-05,3.11723086175234e-05,3.116323875800938e-05,3.1146174045502555e-05,3.1148243806668594e-05
