,Axial,Radial,Value,Relative Uncertainty
0,0,0,7541904.810484405,0.005603643459708247
1,0,1,7672496.270047422,0.00663547040813177
2,0,2,8596614.947462432,0.005856270630790298
3,0,3,9791687.839542486,0.0056020711160697165
4,1,0,8973489.504023544,0.005729198979178529
5,1,1,8456562.453807773,0.005926580886738292
6,1,2,9114053.245469648,0.005672278542888389
7,1,3,10308261.939904636,0.005013949300861685
8,2,0,9497098.835044984,0.0056099049569448235
9,2,1,9042716.508156603,0.004210862912652609
10,2,2,9667053.501384363,0.0047244349800587004
11,2,3,10779856.19251299,0.00451174037138969
12,3,0,9126338.119803881,0.004955834288267944
13,3,1,8808919.643536948,0.004842486722664324
14,3,2,9339811.622584708,0.004240627564281649
15,3,3,10278997.93496921,0.0038567104100938458
16,4,0,8283806.268336471,0.00405296306459181
17,4,1,7890635.603695687,0.004417617065425664
18,4,2,8343890.181880773,0.005045645541226812
19,4,3,9177967.805816036,0.004931185505091962
20,5,0,7027364.84474862,0.005741648660622036
21,5,1,6803195.12991479,0.006068230825738351
22,5,2,7223474.719043001,0.005939832295666807
23,5,3,7867239.972271871,0.005868987796039701
24,6,0,5684036.643636936,0.006510851430752561
25,6,1,5515935.499536876,0.0074102137961762965
26,6,2,5915858.992106285,0.007627163658781165
27,6,3,6495939.96513148,0.006998632999374092
28,7,0,4278319.826784961,0.008869800941835463
29,7,1,4532844.204995686,0.008378949891644344
30,7,2,4968157.01555035,0.00808824970791941
31,7,3,5709692.608368014,0.009260310980419573
