,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.635212688102815e+19,0.004742206302504167
1,0,1,6.379063392864007e+19,0.0047298732574324555
2,0,2,7.348004163087077e+19,0.00540598382326399
3,0,3,8.395141619928372e+19,0.00586573900502177
4,1,0,7.719165659862249e+19,0.004710879839121888
5,1,1,6.975772645714277e+19,0.004417633919343973
6,1,2,7.871756113341204e+19,0.00479981239800926
7,1,3,8.948628373020926e+19,0.004947062751658289
8,2,0,8.298361189102954e+19,0.003693781556226369
9,2,1,7.440200919960525e+19,0.0033916970512624838
10,2,2,8.337764978668469e+19,0.004119380514253642
11,2,3,9.348021744732886e+19,0.004705324888561568
12,3,0,8.134757015355815e+19,0.003775938178537267
13,3,1,7.21726777197958e+19,0.003494723652622741
14,3,2,8.017233661824562e+19,0.00346501867624453
15,3,3,8.993549162086254e+19,0.0038503249589489316
16,4,0,7.406122791481755e+19,0.003937697584124283
17,4,1,6.530649849088937e+19,0.0035313967360376783
18,4,2,7.251468882987432e+19,0.003973055198384805
19,4,3,8.01769626954548e+19,0.004648783409624868
20,5,0,6.350519067969305e+19,0.005075219882177978
21,5,1,5.607830080829571e+19,0.0050009059516766645
22,5,2,6.157153823834834e+19,0.004415747676547803
23,5,3,6.86845591004121e+19,0.004705290073709494
24,6,0,5.194339388596771e+19,0.006904444931136528
25,6,1,4.557870598798624e+19,0.00707705539744229
26,6,2,4.997870464427813e+19,0.006976350080755405
27,6,3,5.612535401792026e+19,0.00725160852671398
28,7,0,4.07818034649581e+19,0.008717866100150209
29,7,1,3.785182851553495e+19,0.007480626142888636
30,7,2,4.2446864589138125e+19,0.006754184077307017
31,7,3,4.8203858249475916e+19,0.00746829584275005
