,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.759232112447702e+19,0.00962031916562781
1,0,1,6.521128943885593e+19,0.009003030067002982
2,0,2,7.361601420059885e+19,0.008116713411059984
3,0,3,8.234164105505484e+19,0.01074674808572744
4,1,0,7.804486857603477e+19,0.007220752051437182
5,1,1,7.0724831609895756e+19,0.007317663290138956
6,1,2,7.823532735185168e+19,0.007693559397325664
7,1,3,8.87791381273148e+19,0.0075080031661585115
8,2,0,8.253492084479708e+19,0.006001802218533973
9,2,1,7.311704173463571e+19,0.007010111900907951
10,2,2,8.192581736769277e+19,0.0065591905227331375
11,2,3,9.173955873526833e+19,0.007844072881756512
12,3,0,7.915260195420327e+19,0.007802412557352879
13,3,1,7.0015626649374925e+19,0.007551545742350227
14,3,2,7.790791228607642e+19,0.007633807509838229
15,3,3,8.819548261971255e+19,0.007940296131069544
16,4,0,7.2549378203257545e+19,0.007678756211270822
17,4,1,6.391960231018133e+19,0.007876605123320104
18,4,2,7.089111505929047e+19,0.0070553774689974275
19,4,3,7.944947742408525e+19,0.008704311254445152
20,5,0,6.378601725805214e+19,0.008658251841341391
21,5,1,5.548213330245947e+19,0.008484767839209742
22,5,2,6.050597809120742e+19,0.0078155740314965
23,5,3,6.8062472601626165e+19,0.009646857211895772
24,6,0,5.133691510280969e+19,0.011087652441446067
25,6,1,4.546069127019339e+19,0.010332763307098428
26,6,2,5.02273336942826e+19,0.010926909865307541
27,6,3,5.711768399260553e+19,0.013141682990075598
28,7,0,4.034903319609212e+19,0.01333692673349202
29,7,1,3.824260552052572e+19,0.01329457534259857
30,7,2,4.321845865371192e+19,0.013590474317718183
31,7,3,4.9587508361150415e+19,0.0161389772963077
