,Axial,Radial,Value,Relative Uncertainty
0,0,0,7646126.386374798,0.005634060258719459
1,0,1,7802693.623415061,0.005400975485317458
2,0,2,8655685.461933905,0.005427483674137931
3,0,3,9873562.801782584,0.005930585009776081
4,1,0,8940906.109491853,0.005151457883402189
5,1,1,8570374.705734842,0.004930123731554073
6,1,2,9279690.619272856,0.00595939955989275
7,1,3,10466807.287354756,0.005651401721801687
8,2,0,9531117.862764237,0.00439978098966357
9,2,1,9049574.5577251,0.004352918034254546
10,2,2,9747845.32773487,0.00449603089502726
11,2,3,10850446.634983532,0.004520700729786023
12,3,0,9158309.44065192,0.004186121385488837
13,3,1,8713726.433057772,0.004599846469456142
14,3,2,9331994.84784334,0.004362478766935511
15,3,3,10369018.791094033,0.003841743369867044
16,4,0,8204630.813736331,0.004474511078741463
17,4,1,7880455.708978761,0.004618765231406291
18,4,2,8380280.035675791,0.0048169813678420065
19,4,3,9193838.143366253,0.004828989246793852
20,5,0,6934392.635306519,0.005733508847750219
21,5,1,6713013.351479766,0.005541983839946365
22,5,2,7142563.236728882,0.004797610895945769
23,5,3,7858727.591400733,0.005105981013526226
24,6,0,5560895.259711374,0.007995614208639618
25,6,1,5441665.712674856,0.00781079715779246
26,6,2,5806414.101978854,0.007799828233209003
27,6,3,6396820.821827787,0.007004703683254226
28,7,0,4247567.005951122,0.00860633248375766
29,7,1,4450451.033718381,0.008968325701494338
30,7,2,4886930.249591021,0.007748530271793623
31,7,3,5492025.8839102015,0.00794668485197513
