,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.487854433100438e+19,0.005971195100959888
1,0,1,6.243607653315623e+19,0.005916887314936555
2,0,2,7.185810793328721e+19,0.0061148966895136075
3,0,3,8.31373073466074e+19,0.006334509320859243
4,1,0,7.488064077628765e+19,0.0057505205896816744
5,1,1,6.770477215076146e+19,0.005168343465896984
6,1,2,7.759677393011543e+19,0.004764753438338518
7,1,3,8.806620117989786e+19,0.0053008173402331145
8,2,0,8.145647334652015e+19,0.004686715334108691
9,2,1,7.335999385956886e+19,0.004515696801216216
10,2,2,8.193212085996705e+19,0.005344635329802566
11,2,3,9.25380257766037e+19,0.004818001604304517
12,3,0,8.116833571276407e+19,0.005375235697850308
13,3,1,7.1900684720967115e+19,0.00459487009154393
14,3,2,7.959300174396057e+19,0.004519619824735812
15,3,3,8.864661226122969e+19,0.004620943974544531
16,4,0,7.500738421766962e+19,0.004867444686868653
17,4,1,6.56884694178937e+19,0.005003773664298714
18,4,2,7.2879524743530275e+19,0.0040765374632087134
19,4,3,8.145700516546503e+19,0.005099214287308022
20,5,0,6.5967264488216175e+19,0.005172671029560845
21,5,1,5.774444851545175e+19,0.004863780156729393
22,5,2,6.297920186678219e+19,0.0056724378375660025
23,5,3,7.039149872943809e+19,0.005900659969828491
24,6,0,5.346124145243131e+19,0.0064384335532668355
25,6,1,4.7274613201211e+19,0.007629951233860261
26,6,2,5.152918857572189e+19,0.006984441610710976
27,6,3,5.753920582201119e+19,0.006946341986464959
28,7,0,4.15335451216399e+19,0.008176490938216607
29,7,1,3.891785371586755e+19,0.00833997469578354
30,7,2,4.394568586877892e+19,0.009390517832607633
31,7,3,4.987059881049147e+19,0.009945961953686135
