,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.545447569655149e+19,0.006024138899753026
1,0,1,6.248618867849864e+19,0.005586483473197671
2,0,2,7.208465376885949e+19,0.00550649135590138
3,0,3,8.279474896148454e+19,0.005260377110687136
4,1,0,7.636939571595446e+19,0.004511400511470724
5,1,1,6.877865530145707e+19,0.0043967955286391925
6,1,2,7.664412321263146e+19,0.004228023234178716
7,1,3,8.684075646941404e+19,0.004073901970388824
8,2,0,8.178293629133827e+19,0.003881437248314466
9,2,1,7.342411177276234e+19,0.0035139710942937185
10,2,2,8.167849066287984e+19,0.003383587790358617
11,2,3,9.144321727605485e+19,0.003830675898463705
12,3,0,8.115021229476923e+19,0.0033576021413140793
13,3,1,7.202772063913924e+19,0.0033015277688223724
14,3,2,8.001968655635253e+19,0.0038718589764861642
15,3,3,8.900340213087653e+19,0.0037522194836349825
16,4,0,7.524851217267528e+19,0.003466632897716096
17,4,1,6.630607166394738e+19,0.0032580597313581574
18,4,2,7.33757561464236e+19,0.003376879423171733
19,4,3,8.09285094218965e+19,0.0046308711419962055
20,5,0,6.537005817440731e+19,0.004260498200410885
21,5,1,5.733153302063406e+19,0.004459451960134481
22,5,2,6.3566717125942845e+19,0.00488231184662245
23,5,3,7.066032258746722e+19,0.005492278994596347
24,6,0,5.2442263294514455e+19,0.005057898684931044
25,6,1,4.640824548033496e+19,0.0059615947213439305
26,6,2,5.131725480393752e+19,0.0063196059153476005
27,6,3,5.790383781818748e+19,0.005866307477857226
28,7,0,4.086308556064423e+19,0.006830980768736378
29,7,1,3.8058640052089545e+19,0.005874742577585499
30,7,2,4.366810605837363e+19,0.006125911909301467
31,7,3,5.0078508613220336e+19,0.007145845987364655
