,Axial,Radial,Value,Relative Uncertainty
0,0,0,7541373.965197209,0.005341308484862053
1,0,1,7763952.861592445,0.005399439609022367
2,0,2,8589606.640121602,0.0056759188807445965
3,0,3,9809714.303493204,0.0057205945300489195
4,1,0,9006141.94054451,0.0043506771007165825
5,1,1,8531272.937851192,0.004424176701862511
6,1,2,9163370.333934797,0.005175470381029542
7,1,3,10282044.957669832,0.004085648000634445
8,2,0,9494278.842036635,0.004600017159613582
9,2,1,9035687.325516343,0.004146731631049324
10,2,2,9654311.566550603,0.00388895888913937
11,2,3,10680651.883427044,0.004114585320317223
12,3,0,9103934.30044914,0.004227195262699764
13,3,1,8661006.219481526,0.0043959759825759025
14,3,2,9276741.94030256,0.004536619728763486
15,3,3,10244724.231754472,0.0043625172566768115
16,4,0,8175095.352875168,0.00394712665774605
17,4,1,7834685.736289977,0.004225889766938859
18,4,2,8418576.798144508,0.004413519530021376
19,4,3,9278261.998501694,0.004754858976498252
20,5,0,6920131.193241924,0.004903850267800543
21,5,1,6748358.303355908,0.005199933959662298
22,5,2,7220912.322227795,0.005531905906078768
23,5,3,8019821.751377996,0.005316340680475511
24,6,0,5635058.466011639,0.005837639936203921
25,6,1,5523704.275969935,0.006183866539436197
26,6,2,5950046.468777329,0.0061912630089997695
27,6,3,6576545.483351442,0.006230306320924745
28,7,0,4250378.006038314,0.0072203996150508615
29,7,1,4530161.402920347,0.007301107642531156
30,7,2,5062739.794785305,0.00865939041636666
31,7,3,5627582.154174102,0.00779478599355189
