,Axial,Radial,Value,Relative Uncertainty
0,0,0,7609127.491597498,0.005160915970454279
1,0,1,7710507.191636857,0.005173885920907375
2,0,2,8697587.799966037,0.005290340846375987
3,0,3,9876091.860824952,0.0050120233581924965
4,1,0,9021787.054213496,0.0054100281528735375
5,1,1,8499878.806104261,0.005207331182116903
6,1,2,9215340.178402781,0.00436230960107995
7,1,3,10334644.967595128,0.004955347098629248
8,2,0,9476265.208729014,0.004422336948246776
9,2,1,9122098.888963772,0.004919114754923851
10,2,2,9792507.225507477,0.004469442769507859
11,2,3,10846579.66071587,0.0037228944035262875
12,3,0,9174743.551233754,0.004391012518140159
13,3,1,8710926.346031621,0.004092465986893887
14,3,2,9358942.742450036,0.004192007849556797
15,3,3,10332055.684560496,0.004819412733398466
16,4,0,8267441.6693786,0.004464246908677695
17,4,1,7954459.273882909,0.004377643346187607
18,4,2,8421585.13903368,0.0046443741571364095
19,4,3,9314928.017450748,0.004251881561641114
20,5,0,6989765.494039796,0.005857521998233835
21,5,1,6750889.389585462,0.005296868393549145
22,5,2,7167220.086660096,0.004750028366902542
23,5,3,7970101.832962848,0.005272448661248883
24,6,0,5527469.6588336695,0.007247165784316472
25,6,1,5394810.188146207,0.00646137688175495
26,6,2,5714386.632458334,0.007454232200336633
27,6,3,6443719.75641657,0.007151629084131285
28,7,0,4132443.4831196754,0.00784049894322683
29,7,1,4378421.106134914,0.007090977336984786
30,7,2,4852390.706393925,0.006709095037961853
31,7,3,5510761.13979105,0.00726909303793449
