,Zone,Type,Pass,Axial,Radial,Value
0,1.0,0.0,0.0,0.0,0.0,4.406262476150085
1,65.0,0.0,0.0,0.0,1.0,3.8036967121657623
2,129.0,0.0,0.0,0.0,2.0,3.357553923692705
3,193.0,0.0,0.0,0.0,3.0,3.211830372739965
4,9.0,0.0,0.0,1.0,0.0,9.287051690310493
5,73.0,0.0,0.0,1.0,1.0,8.119497389192485
6,137.0,0.0,0.0,1.0,2.0,7.161117739300778
7,201.0,0.0,0.0,1.0,3.0,7.223774476614261
8,17.0,0.0,0.0,2.0,0.0,14.3805158140907
9,81.0,0.0,0.0,2.0,1.0,12.647065875338738
10,145.0,0.0,0.0,2.0,2.0,11.22529099117298
11,209.0,0.0,0.0,2.0,3.0,11.503330781745516
12,25.0,0.0,0.0,3.0,0.0,19.220926455376226
13,89.0,0.0,0.0,3.0,1.0,16.9436798574742
14,153.0,0.0,0.0,3.0,2.0,15.078420875792816
15,217.0,0.0,0.0,3.0,3.0,15.606342104895218
16,33.0,0.0,0.0,4.0,0.0,23.53088859260503
17,97.0,0.0,0.0,4.0,1.0,20.82279738114996
18,161.0,0.0,0.0,4.0,2.0,18.66687152084006
19,225.0,0.0,0.0,4.0,3.0,19.318200927993857
20,41.0,0.0,0.0,5.0,0.0,27.20702736107483
21,105.0,0.0,0.0,5.0,1.0,24.06302124945828
22,169.0,0.0,0.0,5.0,2.0,21.71378618059085
23,233.0,0.0,0.0,5.0,3.0,22.425598196072315
24,49.0,0.0,0.0,6.0,0.0,30.170334081476657
25,113.0,0.0,0.0,6.0,1.0,26.75701596822424
26,177.0,0.0,0.0,6.0,2.0,24.115621936219313
27,241.0,0.0,0.0,6.0,3.0,24.894660655564188
28,57.0,0.0,0.0,7.0,0.0,32.673413327553014
29,121.0,0.0,0.0,7.0,1.0,28.977780600678972
30,185.0,0.0,0.0,7.0,2.0,26.089006016014213
31,249.0,0.0,0.0,7.0,3.0,26.82542625604431
32,2.0,0.0,1.0,0.0,0.0,32.76570530607362
33,66.0,0.0,1.0,0.0,1.0,32.29437578861129
34,130.0,0.0,1.0,0.0,2.0,31.84983945357098
35,194.0,0.0,1.0,0.0,3.0,31.683687661761258
36,10.0,0.0,1.0,1.0,0.0,37.3911005862105
37,74.0,0.0,1.0,1.0,1.0,36.364225116288374
38,138.0,0.0,1.0,1.0,2.0,35.39740031173848
39,202.0,0.0,1.0,1.0,3.0,35.52404312132522
40,18.0,0.0,1.0,2.0,0.0,42.060698118217935
41,82.0,0.0,1.0,2.0,1.0,40.560490724895104
42,146.0,0.0,1.0,2.0,2.0,39.21048249668573
43,210.0,0.0,1.0,2.0,3.0,39.481625065537784
44,26.0,0.0,1.0,3.0,0.0,46.592977374792376
45,90.0,0.0,1.0,3.0,1.0,44.67002998801475
46,154.0,0.0,1.0,3.0,2.0,42.963181659841595
47,218.0,0.0,1.0,3.0,3.0,43.35403259854617
48,34.0,0.0,1.0,4.0,0.0,50.64426697084337
49,98.0,0.0,1.0,4.0,1.0,48.29760356488968
50,162.0,0.0,1.0,4.0,2.0,46.258624506901214
51,226.0,0.0,1.0,4.0,3.0,46.772961835334364
52,42.0,0.0,1.0,5.0,0.0,53.96221871547435
53,106.0,0.0,1.0,5.0,1.0,51.332887277506345
54,170.0,0.0,1.0,5.0,2.0,49.02261283768951
55,234.0,0.0,1.0,5.0,3.0,49.62889624066046
56,50.0,0.0,1.0,6.0,0.0,56.721406205997425
57,114.0,0.0,1.0,6.0,1.0,53.80351148163306
58,178.0,0.0,1.0,6.0,2.0,51.30481869627553
59,242.0,0.0,1.0,6.0,3.0,52.009239853631364
60,58.0,0.0,1.0,7.0,0.0,58.94897455672532
61,122.0,0.0,1.0,7.0,1.0,55.80838298291744
62,186.0,0.0,1.0,7.0,2.0,53.104847191269975
63,250.0,0.0,1.0,7.0,3.0,53.73048350292337
64,3.0,0.0,2.0,0.0,0.0,59.322615973517685
65,67.0,0.0,2.0,0.0,1.0,58.77315118482426
66,131.0,0.0,2.0,0.0,2.0,58.30330756593078
67,195.0,0.0,2.0,0.0,3.0,58.39035894616775
68,11.0,0.0,2.0,1.0,0.0,63.489069471254815
69,75.0,0.0,2.0,1.0,1.0,62.48999075739404
70,139.0,0.0,2.0,1.0,2.0,61.611514856357935
71,203.0,0.0,2.0,1.0,3.0,61.73590912795266
72,19.0,0.0,2.0,2.0,0.0,67.74158792569177
73,83.0,0.0,2.0,2.0,1.0,66.34750107119949
74,147.0,0.0,2.0,2.0,2.0,65.04313136170987
75,211.0,0.0,2.0,2.0,3.0,65.3900336038649
76,27.0,0.0,2.0,3.0,0.0,71.91825047164471
77,91.0,0.0,2.0,3.0,1.0,70.02347394024677
78,155.0,0.0,2.0,3.0,2.0,68.41974289445086
79,219.0,0.0,2.0,3.0,3.0,68.88972350471772
80,35.0,0.0,2.0,4.0,0.0,75.49018031319369
81,99.0,0.0,2.0,4.0,1.0,73.3512195371151
82,163.0,0.0,2.0,4.0,2.0,71.43207312379563
83,227.0,0.0,2.0,4.0,3.0,71.96266999934281
84,43.0,0.0,2.0,5.0,0.0,78.61520405002922
85,107.0,0.0,2.0,5.0,1.0,76.2193588570903
86,171.0,0.0,2.0,5.0,2.0,74.02690988071704
87,235.0,0.0,2.0,5.0,3.0,74.64227219323902
88,51.0,0.0,2.0,6.0,0.0,81.09255300030169
89,115.0,0.0,2.0,6.0,1.0,78.51890884306164
90,179.0,0.0,2.0,6.0,2.0,76.12577092962705
91,243.0,0.0,2.0,6.0,3.0,76.72114903749794
92,59.0,0.0,2.0,7.0,0.0,83.1166149188494
93,123.0,0.0,2.0,7.0,1.0,80.31608265239458
94,187.0,0.0,2.0,7.0,2.0,77.71889081437871
95,251.0,0.0,2.0,7.0,3.0,78.27107895537519
96,4.0,0.0,3.0,0.0,0.0,83.34305395385546
97,68.0,0.0,3.0,0.0,1.0,82.93199951512494
98,132.0,0.0,3.0,0.0,2.0,82.50273762390687
99,196.0,0.0,3.0,0.0,3.0,82.52439496471347
100,12.0,0.0,3.0,1.0,0.0,87.0939219660075
101,76.0,0.0,3.0,1.0,1.0,86.22325969280662
102,140.0,0.0,3.0,1.0,2.0,85.44622218602335
103,204.0,0.0,3.0,1.0,3.0,85.59130167374212
104,20.0,0.0,3.0,2.0,0.0,91.06575618988349
105,84.0,0.0,3.0,2.0,1.0,89.7653769356301
106,148.0,0.0,3.0,2.0,2.0,88.680002590184
107,212.0,0.0,3.0,2.0,3.0,88.92574737468505
108,28.0,0.0,3.0,3.0,0.0,94.78078994508428
109,92.0,0.0,3.0,3.0,1.0,93.12586151015233
110,156.0,0.0,3.0,3.0,2.0,91.69475395811328
111,220.0,0.0,3.0,3.0,3.0,92.05953041393194
112,36.0,0.0,3.0,4.0,0.0,98.04221535479559
113,100.0,0.0,3.0,4.0,1.0,96.11693237312437
114,164.0,0.0,3.0,4.0,2.0,94.40393396495699
115,228.0,0.0,3.0,4.0,3.0,94.87025694634937
116,44.0,0.0,3.0,5.0,0.0,100.87467259455877
117,108.0,0.0,3.0,5.0,1.0,98.69552542640086
118,172.0,0.0,3.0,5.0,2.0,96.75403913861483
119,236.0,0.0,3.0,5.0,3.0,97.25094451080494
120,52.0,0.0,3.0,6.0,0.0,103.15736346519702
121,116.0,0.0,3.0,6.0,1.0,100.7739293030234
122,180.0,0.0,3.0,6.0,2.0,98.62733232569863
123,244.0,0.0,3.0,6.0,3.0,99.16573629728884
124,60.0,0.0,3.0,7.0,0.0,105.08867334564783
125,124.0,0.0,3.0,7.0,1.0,102.50345515956457
126,188.0,0.0,3.0,7.0,2.0,100.16298462240708
127,252.0,0.0,3.0,7.0,3.0,100.58847131991335
128,5.0,0.0,4.0,0.0,0.0,105.25010477730046
129,69.0,0.0,4.0,0.0,1.0,104.85117514959896
130,133.0,0.0,4.0,0.0,2.0,104.52810056054936
131,197.0,0.0,4.0,0.0,3.0,104.4388301375172
132,13.0,0.0,4.0,1.0,0.0,108.75400505813111
133,77.0,0.0,4.0,1.0,1.0,107.94347887747942
134,141.0,0.0,4.0,1.0,2.0,107.27441211471515
135,205.0,0.0,4.0,1.0,3.0,107.29038347023881
136,21.0,0.0,4.0,2.0,0.0,112.3290428116568
137,85.0,0.0,4.0,2.0,1.0,111.15277494408126
138,149.0,0.0,4.0,2.0,2.0,110.1568298510972
139,213.0,0.0,4.0,2.0,3.0,110.27933204527928
