,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.308764514906575e+19,0.010317807920514559
1,0,1,6.014996846145981e+19,0.009860344257815611
2,0,2,6.854715645135853e+19,0.008768868950320448
3,0,3,8.03667580000104e+19,0.010813741631257597
4,1,0,7.351694256747476e+19,0.008491400849350473
5,1,1,6.682890591487401e+19,0.00867128602162388
6,1,2,7.530685855056375e+19,0.008676952588051881
7,1,3,8.515467311568947e+19,0.011298267536158434
8,2,0,8.018347704681942e+19,0.008209592687214854
9,2,1,7.233598922381988e+19,0.008071753555534904
10,2,2,8.128982648121259e+19,0.007404050076350954
11,2,3,9.112876152556125e+19,0.007950493978823192
12,3,0,7.840271689921153e+19,0.009140002572599403
13,3,1,7.008512052403429e+19,0.00893160702252255
14,3,2,7.825188423154011e+19,0.007327392680967191
15,3,3,8.893979313964052e+19,0.009249131084622678
16,4,0,7.188355826973183e+19,0.010081815418950823
17,4,1,6.343262394283826e+19,0.009346140222250362
18,4,2,7.151501409013859e+19,0.008871643602537707
19,4,3,8.031238244988266e+19,0.00876626210794197
20,5,0,6.299431288417446e+19,0.009445371257185678
21,5,1,5.576238210877074e+19,0.009660108271537004
22,5,2,6.13305835751684e+19,0.008609219327887076
23,5,3,6.73928773791237e+19,0.01051164761929217
24,6,0,5.149826234895279e+19,0.011131643341370448
25,6,1,4.50081325473991e+19,0.011577878320684562
26,6,2,5.038889693120823e+19,0.011032586546816985
27,6,3,5.605243538224003e+19,0.012560627774663819
28,7,0,4.012589622740207e+19,0.016698359478207418
29,7,1,3.7465711882670465e+19,0.017275013591481394
30,7,2,4.2500552348468765e+19,0.016175622697796273
31,7,3,4.789131459628802e+19,0.018277131086225445
