,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.603358432749197e+19,0.004571218860887571
1,0,1,6.357840473579406e+19,0.0041289889529917
2,0,2,7.285615150951915e+19,0.0039991374686274474
3,0,3,8.326573611163682e+19,0.004940153187998559
4,1,0,7.727942810858063e+19,0.0043624067792892044
5,1,1,6.926713481904085e+19,0.004239577704565702
6,1,2,7.79522147475606e+19,0.003921355293895544
7,1,3,8.744903327159937e+19,0.004019693410282581
8,2,0,8.324701548311401e+19,0.003621123020843167
9,2,1,7.389004101592572e+19,0.004177314727400455
10,2,2,8.287970131295696e+19,0.0035057189877357167
11,2,3,9.281710541945792e+19,0.0036052910530729697
12,3,0,8.119897432390461e+19,0.0040115814895316845
13,3,1,7.2050117459859e+19,0.003595364095629898
14,3,2,8.021404581163739e+19,0.003984955634590898
15,3,3,8.954064525626658e+19,0.00423175712848233
16,4,0,7.409466215947903e+19,0.003823918628421543
17,4,1,6.572813259480988e+19,0.00373522143759647
18,4,2,7.244223040390236e+19,0.003881742396144405
19,4,3,8.056202683188647e+19,0.0038169985181910884
20,5,0,6.382994356693579e+19,0.004378471232757562
21,5,1,5.613062144895032e+19,0.00473202886000817
22,5,2,6.1743016868004954e+19,0.003981714709522895
23,5,3,6.864047805513665e+19,0.004380744273986194
24,6,0,5.181071343186259e+19,0.004820084568412653
25,6,1,4.611795009313796e+19,0.005738428191876772
26,6,2,5.10783439358085e+19,0.006798920591479154
27,6,3,5.681997769749535e+19,0.007352529545826359
28,7,0,4.108769409143867e+19,0.007346765176600629
29,7,1,3.839045295695402e+19,0.007605720378608501
30,7,2,4.39371296816819e+19,0.00828531792816943
31,7,3,4.980191922868978e+19,0.008494391924893473
