,Axial,Radial,Value,Relative Uncertainty
0,0,0,7609554.9233459495,0.007478256812028233
1,0,1,7807867.642348622,0.008661701720230673
2,0,2,8681106.890939163,0.008031526647336827
3,0,3,9949995.869347857,0.006866633489116358
4,1,0,8839536.31472116,0.007411059727903908
5,1,1,8391683.832959248,0.007312214776546166
6,1,2,9085513.859990261,0.0072860756819040084
7,1,3,10226714.945637118,0.007359464530732399
8,2,0,9368855.738745783,0.006006470414614104
9,2,1,8797926.25804855,0.006977647119716911
10,2,2,9350694.77024662,0.006898330472922813
11,2,3,10466473.534067621,0.008038302164708229
12,3,0,9047904.717743259,0.007102094297261148
13,3,1,8625612.466453534,0.005727280355045083
14,3,2,9170248.902245602,0.005828376862004629
15,3,3,10222011.68476297,0.006315128617833317
16,4,0,8174006.134570321,0.006612731135255283
17,4,1,7911221.704999014,0.007227971860351101
18,4,2,8412909.490935864,0.006453211140749485
19,4,3,9403004.658437258,0.007739773401138527
20,5,0,7041342.783892298,0.00788448830999529
21,5,1,6745303.083071462,0.008159133324937496
22,5,2,7296788.660275421,0.007767075535609236
23,5,3,8184662.002386566,0.008402383026079187
24,6,0,5690520.523085849,0.007945087659599195
25,6,1,5560434.824608135,0.008566499508497343
26,6,2,5948723.979855708,0.009954805817621929
27,6,3,6701367.49479748,0.009723395029692569
28,7,0,4257167.697982778,0.011065022824725936
29,7,1,4614130.037023392,0.010889927440582883
30,7,2,5110495.865836139,0.012388968093555093
31,7,3,5790630.897784608,0.012029656277455144
