,Axial,Radial,Value,Relative Uncertainty
0,0,0,6.5610239197751116e+19,0.006955711700986366
1,0,1,6.399597953792086e+19,0.007637206733006065
2,0,2,7.37252626881364e+19,0.007193609448616391
3,0,3,8.498659539586195e+19,0.006761497156371979
4,1,0,7.6167715854125e+19,0.00644225936468512
5,1,1,6.8923007293000294e+19,0.0067403540510660356
6,1,2,7.74991641140819e+19,0.0059562100753734765
7,1,3,8.726517363333505e+19,0.0064244058039866075
8,2,0,8.174824859347573e+19,0.005854203180924231
9,2,1,7.2716333957599085e+19,0.005425436110580134
10,2,2,8.08684088752157e+19,0.005598236058444278
11,2,3,9.026285929836488e+19,0.00775389313885128
12,3,0,8.011691954679525e+19,0.005952373252078432
13,3,1,7.15455326170121e+19,0.005054749867935915
14,3,2,7.911627828508892e+19,0.00539698553664453
15,3,3,8.77190113949368e+19,0.006089681474617732
16,4,0,7.36898884222615e+19,0.005797840174426476
17,4,1,6.527210142941989e+19,0.005591150178474954
18,4,2,7.277760827781571e+19,0.0053576395671638835
19,4,3,8.141988189796005e+19,0.006862042580557776
20,5,0,6.403059700060255e+19,0.006547017957987598
21,5,1,5.665634987204893e+19,0.006936988887745695
22,5,2,6.3308572646667e+19,0.006796112988170517
23,5,3,7.129783877673252e+19,0.0070335336443540794
24,6,0,5.220027344391511e+19,0.007685107728712852
25,6,1,4.625052779731654e+19,0.007263758695531964
26,6,2,5.16030823153412e+19,0.008097821459804363
27,6,3,5.8232215316654604e+19,0.009215854641446156
28,7,0,4.1075443153664745e+19,0.010940479769751647
29,7,1,3.9042803212818285e+19,0.010708533820437469
30,7,2,4.475319038127935e+19,0.010243839732638189
31,7,3,5.103906208707469e+19,0.011416402621990935
